scope,Region,renewable_direct_use_MWh,renewable_charge_MWh,grid_charge_MWh,renewable_sell_MWh,storage_sell_MWh,renewable_curtailment_MWh,renewable_utilization,max_energy_balance_abs_residual_MW,max_source_decomposition_abs_residual_MW,scenario_key
04_carbon_constraint_0.3_None,RegionB,1110091.9507171002,17865.664906901613,1.0017597650536252,0.0,0.0,412144.83237599826,0.7323912880528074,5.684341886080802e-14,0.0,04_carbon_constraint_0.3_None
04_carbon_constraint_0.3_None,RegionC,1135420.1788308,24229.032258064515,0.0,0.0,0.0,380453.23691113555,0.7529688772294351,5.684341886080802e-14,0.0,04_carbon_constraint_0.3_None
04_carbon_constraint_0.3_None,RegionD,1055628.94238592,85126.59574468086,0.0,321183.2583928101,73629.44503530666,78163.651476589,0.9492477584344514,5.684341886080802e-14,1.4210854715202004e-14,04_carbon_constraint_0.3_None
04_carbon_constraint_0.3_None,RegionE,992480.01116375,78777.76595744683,0.0,384366.51801459223,67873.19708666668,84478.15286421104,0.9451477056127562,5.684341886080802e-14,1.4210854715202004e-14,04_carbon_constraint_0.3_None
04_carbon_constraint_0.3_None,RegionF,1034877.4917173,81699.46808510639,0.0,376164.4778012085,70159.13038836,47361.010396385216,0.9692481429025135,5.684341886080802e-14,1.4210854715202004e-14,04_carbon_constraint_0.3_None
05_price_spread_0.75_None,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0,05_price_spread_0.75_None
05_price_spread_0.75_None,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0,05_price_spread_0.75_None
05_price_spread_0.75_None,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0,05_price_spread_0.75_None
05_price_spread_0.75_None,RegionD,1058115.1812172802,11465.425531914894,0.0,418706.32036580314,10023.075,436841.13288500195,0.7730846368293017,5.684341886080802e-14,1.4210854715202004e-14,05_price_spread_0.75_None
05_price_spread_0.75_None,RegionE,993047.1470770832,31060.531914893618,0.0,494093.95985970745,27153.117,406926.42114831565,0.7886237130903824,5.684341886080802e-14,1.4210854715202004e-14,05_price_spread_0.75_None
05_price_spread_0.75_None,RegionF,1036218.2591722733,32173.404255319154,0.0,493047.43055640336,28124.463616666668,363688.9660160042,0.8110832346311526,5.684341886080802e-14,1.4210854715202004e-14,05_price_spread_0.75_None
06_price_spread_1.0_None,RegionA,1150586.5788081002,0.0,0.0,0.0,0.0,774541.4811918999,0.5976675540265618,0.0,0.0,06_price_spread_1.0_None
06_price_spread_1.0_None,RegionB,1126903.26646935,0.0,0.0,0.0,0.0,798224.7935306499,0.5853653530297356,0.0,0.0,06_price_spread_1.0_None
06_price_spread_1.0_None,RegionC,1161544.61632276,0.0,0.0,0.0,0.0,763583.44367724,0.6033596623815041,0.0,0.0,06_price_spread_1.0_None
06_price_spread_1.0_None,RegionD,1057872.2645239467,11403.191489361703,0.0,418765.1039133186,9968.670000000002,437087.50007337297,0.772956662387762,5.684341886080802e-14,1.4210854715202004e-14,06_price_spread_1.0_None
06_price_spread_1.0_None,RegionE,992894.5937437499,31013.617021276594,0.0,494185.4731930408,27112.104,407034.3760419327,0.7885676363566523,5.684341886080802e-14,1.4210854715202004e-14,06_price_spread_1.0_None
06_price_spread_1.0_None,RegionF,1035900.3358389399,32164.361702127666,0.0,493166.7926555567,28116.55861666667,363896.56980337575,0.8109753956817939,5.684341886080802e-14,1.4210854715202004e-14,06_price_spread_1.0_None
07_price_spread_1.25_None,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0,07_price_spread_1.25_None
07_price_spread_1.25_None,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0,07_price_spread_1.25_None
07_price_spread_1.25_None,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0,07_price_spread_1.25_None
07_price_spread_1.25_None,RegionD,1058115.1812172802,11465.425531914894,0.0,418706.32036580314,10023.075,436841.13288500195,0.7730846368293017,5.684341886080802e-14,1.4210854715202004e-14,07_price_spread_1.25_None
07_price_spread_1.25_None,RegionE,993047.1470770832,31060.531914893618,0.0,494093.95985970745,27153.117,406926.42114831565,0.7886237130903824,5.684341886080802e-14,1.4210854715202004e-14,07_price_spread_1.25_None
07_price_spread_1.25_None,RegionF,1036218.2591722733,32173.404255319154,0.0,493047.43055640336,28124.463616666668,363688.9660160042,0.8110832346311526,5.684341886080802e-14,1.4210854715202004e-14,07_price_spread_1.25_None
08_sell_mechanism_0.0_None,RegionA,1150567.6212081,0.0,0.0,0.0,0.0,774560.4387919,0.5976577065777641,0.0,0.0,08_sell_mechanism_0.0_None
08_sell_mechanism_0.0_None,RegionB,1126984.53646935,0.0,0.0,0.0,0.0,798143.52353065,0.5854075684031897,0.0,0.0,08_sell_mechanism_0.0_None
08_sell_mechanism_0.0_None,RegionC,1161598.6056027599,0.0,0.0,0.0,0.0,763529.45439724,0.6033877068950726,0.0,0.0,08_sell_mechanism_0.0_None
08_sell_mechanism_0.0_None,RegionD,1057814.34025728,11465.425531914894,0.0,418756.4970328965,10023.075,437091.7971779086,0.7729544302741562,5.684341886080802e-14,1.4210854715202004e-14,08_sell_mechanism_0.0_None
08_sell_mechanism_0.0_None,RegionE,992752.0570770833,30982.021276595744,0.0,494169.8503734752,27084.483,407224.1312728458,0.7884690687679001,5.684341886080802e-14,1.4210854715202004e-14,08_sell_mechanism_0.0_None
08_sell_mechanism_0.0_None,RegionF,1035994.3192256066,32173.40425531915,0.0,493113.42210306996,28124.463616666668,363846.9144160042,0.8110011889723304,5.684341886080802e-14,1.4210854715202004e-14,08_sell_mechanism_0.0_None
09_sell_mechanism_0.5_None,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0,09_sell_mechanism_0.5_None
09_sell_mechanism_0.5_None,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0,09_sell_mechanism_0.5_None
09_sell_mechanism_0.5_None,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0,09_sell_mechanism_0.5_None
09_sell_mechanism_0.5_None,RegionD,1058115.1812172802,11465.425531914894,0.0,418706.32036580314,10023.075,436841.13288500195,0.7730846368293017,5.684341886080802e-14,1.4210854715202004e-14,09_sell_mechanism_0.5_None
09_sell_mechanism_0.5_None,RegionE,993047.1470770832,31060.531914893618,0.0,494093.95985970745,27153.117,406926.42114831565,0.7886237130903824,5.684341886080802e-14,1.4210854715202004e-14,09_sell_mechanism_0.5_None
09_sell_mechanism_0.5_None,RegionF,1036218.2591722733,32173.40425531915,0.0,493047.43055640336,28124.463616666668,363688.9660160042,0.8110832346311526,5.684341886080802e-14,1.4210854715202004e-14,09_sell_mechanism_0.5_None
10_sell_mechanism_1.0_None,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0,10_sell_mechanism_1.0_None
10_sell_mechanism_1.0_None,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0,10_sell_mechanism_1.0_None
10_sell_mechanism_1.0_None,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0,10_sell_mechanism_1.0_None
10_sell_mechanism_1.0_None,RegionD,1058115.1812172802,11465.425531914894,0.0,418706.32036580314,10023.075,436841.13288500195,0.7730846368293017,5.684341886080802e-14,1.4210854715202004e-14,10_sell_mechanism_1.0_None
10_sell_mechanism_1.0_None,RegionE,993047.1470770832,31060.531914893618,0.0,494093.95985970745,27153.117,406926.42114831565,0.7886237130903824,5.684341886080802e-14,1.4210854715202004e-14,10_sell_mechanism_1.0_None
10_sell_mechanism_1.0_None,RegionF,1036218.2591722733,32173.404255319154,0.0,493047.43055640336,28124.463616666668,363688.9660160042,0.8110832346311526,5.684341886080802e-14,1.4210854715202004e-14,10_sell_mechanism_1.0_None
11_renewable_level_0.8_None,RegionA,1128869.2838081,20365.860215053763,0.0,0.0,0.0,390867.30397684616,0.7462069458532242,5.684341886080802e-14,0.0,11_renewable_level_0.8_None
11_renewable_level_0.8_None,RegionB,1110128.1121180002,17815.05376344086,0.0,0.0,0.0,412159.2821185591,0.7323819057272488,5.684341886080802e-14,0.0,11_renewable_level_0.8_None
11_renewable_level_0.8_None,RegionC,1135199.08215034,24040.32258064516,0.0,0.0,0.0,380863.0432690149,0.7527027869064105,5.684341886080802e-14,0.0,11_renewable_level_0.8_None
11_renewable_level_0.8_None,RegionD,1055529.8791342934,84738.82978723405,0.0,321645.97469691455,73098.97395701332,78187.76438155802,0.9492321017455082,5.684341886080802e-14,1.4210854715202004e-14,11_renewable_level_0.8_None
11_renewable_level_0.8_None,RegionE,993079.1460812499,78817.02127659575,0.0,384854.46452877665,67965.36900416666,83351.81611337769,0.945879044461218,5.684341886080802e-14,1.4210854715202004e-14,11_renewable_level_0.8_None
11_renewable_level_0.8_None,RegionF,1035964.99790275,81740.1595744681,0.0,376515.94894590473,70236.19643381,45881.34157687728,0.9702089028970383,5.684341886080802e-14,1.4210854715202004e-14,11_renewable_level_0.8_None
12_renewable_level_1.0_None,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0,12_renewable_level_1.0_None
12_renewable_level_1.0_None,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0,12_renewable_level_1.0_None
12_renewable_level_1.0_None,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0,12_renewable_level_1.0_None
12_renewable_level_1.0_None,RegionD,1058115.1812172802,11465.425531914894,0.0,418706.32036580314,10023.075,436841.13288500195,0.7730846368293017,5.684341886080802e-14,1.4210854715202004e-14,12_renewable_level_1.0_None
12_renewable_level_1.0_None,RegionE,993047.1470770832,31060.531914893618,0.0,494093.95985970745,27153.117,406926.42114831565,0.7886237130903824,5.684341886080802e-14,1.4210854715202004e-14,12_renewable_level_1.0_None
12_renewable_level_1.0_None,RegionF,1036218.2591722733,32173.404255319154,0.0,493047.43055640336,28124.463616666668,363688.9660160042,0.8110832346311526,5.684341886080802e-14,1.4210854715202004e-14,12_renewable_level_1.0_None
13_renewable_level_1.2_None,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,1159836.8699919,0.49793951629729505,0.0,0.0,13_renewable_level_1.2_None
13_renewable_level_1.2_None,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,1183489.8775306498,0.4877008002216356,0.0,0.0,13_renewable_level_1.2_None
13_renewable_level_1.2_None,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,1148864.2636772401,0.5026892463467079,0.0,0.0,13_renewable_level_1.2_None
13_renewable_level_1.2_None,RegionD,1058115.1812172802,0.0,0.0,433257.4323729067,0.0,818781.0584098131,0.6455729035112374,0.0,0.0,13_renewable_level_1.2_None
13_renewable_level_1.2_None,RegionE,993047.1470770832,506.4893617021272,0.0,528731.9518354167,442.7729999999996,787868.0837257978,0.658954253444228,5.684341886080802e-14,1.0658141036401503e-14,13_renewable_level_1.2_None
13_renewable_level_1.2_None,RegionF,1036219.7855556067,863.5638297872341,0.0,528329.1591946033,754.9275,744741.1634200028,0.6776226740036526,2.842170943040401e-14,1.4210854715202004e-14,13_renewable_level_1.2_None
14_renewable_volatility_2026.0_2026,RegionA,1146673.2730915355,5016.666666666666,0.0,0.0,0.0,773438.120241798,0.5982406904183829,5.684341886080802e-14,0.0,14_renewable_volatility_2026.0_2026
14_renewable_volatility_2026.0_2026,RegionB,1125162.463776384,4541.935483870968,0.0,0.0,0.0,795423.660739745,0.5868203901512168,5.684341886080802e-14,0.0,14_renewable_volatility_2026.0_2026
14_renewable_volatility_2026.0_2026,RegionC,1155089.524296212,6661.290322580644,0.0,0.0,0.0,763377.2453812074,0.6034667712540601,5.684341886080802e-14,0.0,14_renewable_volatility_2026.0_2026
14_renewable_volatility_2026.0_2026,RegionD,1056252.0827022295,28436.17021276596,0.0,403267.9336116751,24444.358711616267,437171.87347332935,0.7729128349657272,5.684341886080802e-14,1.4210854715202004e-14,14_renewable_volatility_2026.0_2026
14_renewable_volatility_2026.0_2026,RegionE,989328.0546409861,46311.70212765958,0.0,481184.42671005893,39849.364230569496,408303.8765212954,0.7879081994569778,5.684341886080802e-14,1.4210854715202004e-14,14_renewable_volatility_2026.0_2026
14_renewable_volatility_2026.0_2026,RegionF,1035306.2133622579,48924.7340425532,0.0,478693.4633053301,42224.997853317924,362203.6492898589,0.8118547764090774,5.684341886080802e-14,1.4210854715202004e-14,14_renewable_volatility_2026.0_2026
15_renewable_volatility_2027.0_2027,RegionA,1146874.4892623213,5701.612903225806,0.0,0.0,0.0,772551.9578344529,0.5987010039038895,5.684341886080802e-14,0.0,15_renewable_volatility_2027.0_2027
15_renewable_volatility_2027.0_2027,RegionB,1125176.4979481418,4242.58064516129,0.0,0.0,0.0,795708.981406697,0.5866721814824637,5.684341886080802e-14,0.0,15_renewable_volatility_2027.0_2027
15_renewable_volatility_2027.0_2027,RegionC,1155943.1991908466,5887.096774193547,0.0,0.0,0.0,763297.76403496,0.6035080575185424,5.684341886080802e-14,0.0,15_renewable_volatility_2027.0_2027
15_renewable_volatility_2027.0_2027,RegionD,1056943.6195116509,28914.89361702128,0.0,402828.0549488006,24866.56106770403,436441.4919225273,0.7732922287141109,5.684341886080802e-14,1.4210854715202004e-14,15_renewable_volatility_2027.0_2027
15_renewable_volatility_2027.0_2027,RegionE,989200.3168709767,46417.021276595755,0.0,480323.264639626,39619.30646055996,409187.4572128016,0.7874492270333427,5.684341886080802e-14,1.4210854715202004e-14,15_renewable_volatility_2027.0_2027
15_renewable_volatility_2027.0_2027,RegionF,1033567.0827722922,49263.82978723405,0.0,477596.3516877886,42386.318150018895,364700.79575268517,0.810557643758678,5.684341886080802e-14,1.4210854715202004e-14,15_renewable_volatility_2027.0_2027
16_renewable_volatility_2028.0_2028,RegionA,1146898.0824966407,5281.989247311827,0.0,0.0,0.0,772947.9882560475,0.5984952874999663,5.684341886080802e-14,0.0,16_renewable_volatility_2028.0_2028
16_renewable_volatility_2028.0_2028,RegionB,1124803.7896471578,4686.451612903225,0.0,0.0,0.0,795637.8187399388,0.5867091466424633,5.684341886080802e-14,0.0,16_renewable_volatility_2028.0_2028
16_renewable_volatility_2028.0_2028,RegionC,1156549.7040392747,5706.265547728876,1.7989684001555943,0.0,0.0,762872.0904129962,0.6037291719632426,5.684341886080802e-14,0.0,16_renewable_volatility_2028.0_2028
16_renewable_volatility_2028.0_2028,RegionD,1056268.3817114136,30245.744680851065,0.0,401590.7623174904,25665.909320800147,437023.17129024497,0.772990077714495,5.684341886080802e-14,1.4210854715202004e-14,16_renewable_volatility_2028.0_2028
16_renewable_volatility_2028.0_2028,RegionE,989821.890171979,47122.65957446808,0.0,480211.8928904878,40347.24542822911,407971.6173630651,0.7880807901355585,5.684341886080802e-14,1.4210854715202004e-14,16_renewable_volatility_2028.0_2028
16_renewable_volatility_2028.0_2028,RegionF,1033634.9214340465,48115.425531914894,0.0,479569.7712309157,41228.80831843989,363807.9418031229,0.811021433138779,5.684341886080802e-14,1.4210854715202004e-14,16_renewable_volatility_2028.0_2028
