Scheme,PassID,schedule_sha256,max_constraint_residual,context_full_recompute_residual,max_absolute_residual,max_relative_residual,worst_quantity,worst_location,audit_passed,abs_residual_used_gpu_instant,abs_residual_used_it_power_instant_mw,abs_residual_ai_energy_mwh,abs_residual_facility_average_power_mw,abs_residual_cost_CNY,abs_residual_carbon_tCO2,abs_residual_renewable_used_MWh,abs_residual_service_objective,abs_residual_balanced_full_score,rel_residual_used_gpu_instant,rel_residual_used_it_power_instant_mw,rel_residual_ai_energy_mwh,rel_residual_facility_average_power_mw,rel_residual_cost_CNY,rel_residual_carbon_tCO2,rel_residual_renewable_used_MWh,rel_residual_service_objective,rel_residual_balanced_full_score
carbon_direct,5,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,0.0,5.960464477539063e-08,5.960464477539063e-08,5.394573676653636e-13,cost_CNY,aggregate,True,0.0,2.842170943040401e-14,2.842170943040401e-14,1.1368683772161603e-13,5.960464477539063e-08,1.3322676295501878e-15,9.313225746154785e-10,2.6645352591003757e-15,5.394573676653636e-13,0.0,1.2344383873525021e-16,1.3206459452321378e-16,1.7010024316769623e-16,1.420240250657052e-16,1.3322676295501878e-15,1.1873135683703788e-16,5.149145626295936e-16,5.394573676653636e-13
carbon_direct,6,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,0.0,5.960464477539063e-08,5.960464477539063e-08,5.394573676653636e-13,cost_CNY,aggregate,True,0.0,2.842170943040401e-14,2.842170943040401e-14,1.1368683772161603e-13,5.960464477539063e-08,1.3322676295501878e-15,9.313225746154785e-10,2.6645352591003757e-15,5.394573676653636e-13,0.0,1.2344383873525021e-16,1.3206459452321378e-16,1.7010024316769623e-16,1.420240250657052e-16,1.3322676295501878e-15,1.1873135683703788e-16,5.149145626295936e-16,5.394573676653636e-13
renewable_max,1,96551f1c41f2ac2cfaa3f167cf8e2a882300c491feb2c2cfd6f17deb9239114c,1.3642420526593924e-12,6.556510925292969e-07,6.556510925292969e-07,1.2071297502904316e-13,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,4.547473508864641e-13,6.556510925292969e-07,2.984279490192421e-13,1.210719347000122e-08,8.526512829121202e-13,1.1098677532572765e-11,0.0,3.6594475661464397e-16,4.08579664686507e-16,6.279889791927053e-16,1.4944913978322042e-15,3.881722362390667e-15,1.5265876451434303e-15,2.0845717800005837e-15,1.2071297502904316e-13
renewable_max,2,a836a6062b0d21bd0be1a1c9531164b7854aca31a615cbe3eabe59c55832d97f,1.3642420526593924e-12,7.748603820800781e-07,7.748603820800781e-07,1.4092549754415783e-13,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,4.547473508864641e-13,7.748603820800781e-07,3.055333763768431e-13,1.4901161193847656e-08,7.958078640513122e-13,1.354294454358751e-11,0.0,3.6594475661464397e-16,4.0029323788556637e-16,6.279889791927053e-16,1.7635626570807148e-15,1.1462779269725748e-14,1.8782466452679125e-15,1.915752502788524e-15,1.4092549754415783e-13
renewable_max,3,57eb8ace333973dff65731863be3006e97f2fcd63ef98a3a445f440a99e5d79b,1.3642420526593924e-12,5.364418029785156e-07,5.364418029785156e-07,1.2630202498821183e-13,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,4.547473508864641e-13,5.364418029785156e-07,1.8474111129762605e-13,1.3969838619232178e-08,4.547473508864641e-13,1.2136069926782511e-11,0.0,3.6594475661464397e-16,4.0029323788556637e-16,6.279889791927053e-16,1.2208424977676868e-15,5.268442195325577e-15,1.7608167335885907e-15,1.0901209040371025e-15,1.2630202498821183e-13
renewable_max,4,d418bcc4c8d647e6c17dfcac92d815516f7bd8ec6a6bafd4f1ac1d5fb9a6f2b6,1.3642420526593924e-12,5.960464477539062e-07,5.960464477539062e-07,1.4247071365915681e-13,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,4.547473508864641e-13,5.960464477539062e-07,1.0302869668521453e-13,1.5832483768463135e-08,3.979039320256561e-13,1.3713474800169934e-11,0.0,3.6594475661464397e-16,4.0029323788556637e-16,6.279889791927053e-16,1.356458141810743e-15,3.950231748145271e-15,1.9955871972075017e-15,9.536910011702244e-16,1.4247071365915681e-13
renewable_max,5,d418bcc4c8d647e6c17dfcac92d815516f7bd8ec6a6bafd4f1ac1d5fb9a6f2b6,1.3642420526593924e-12,5.960464477539062e-07,5.960464477539062e-07,1.4247071365915681e-13,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,4.547473508864641e-13,5.960464477539062e-07,1.0302869668521453e-13,1.5832483768463135e-08,3.979039320256561e-13,1.3713474800169934e-11,0.0,3.6594475661464397e-16,4.0029323788556637e-16,6.279889791927053e-16,1.356458141810743e-15,3.950231748145271e-15,1.9955871972075017e-15,9.536910011702244e-16,1.4247071365915681e-13
renewable_max,6,d418bcc4c8d647e6c17dfcac92d815516f7bd8ec6a6bafd4f1ac1d5fb9a6f2b6,1.3642420526593924e-12,5.960464477539062e-07,5.960464477539062e-07,1.4247071365915681e-13,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,4.547473508864641e-13,5.960464477539062e-07,1.0302869668521453e-13,1.5832483768463135e-08,3.979039320256561e-13,1.3713474800169934e-11,0.0,3.6594475661464397e-16,4.0029323788556637e-16,6.279889791927053e-16,1.356458141810743e-15,3.950231748145271e-15,1.9955871972075017e-15,9.536910011702244e-16,1.4247071365915681e-13
service_first,1,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.7215175765463614e-16,facility_average_power_mw,RegionE:hour=1808,True,0.0,7.105427357601002e-15,0.0,1.1368683772161603e-13,0.0,0.0,0.0,8.881784197001252e-16,5.876375774871434e-17,0.0,3.0860959683812553e-17,0.0,1.7010024316769623e-16,0.0,0.0,0.0,1.7215175765463614e-16,5.876375774871434e-17
service_first,2,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.7215175765463614e-16,facility_average_power_mw,RegionE:hour=1808,True,0.0,7.105427357601002e-15,0.0,1.1368683772161603e-13,0.0,0.0,0.0,8.881784197001252e-16,5.876375774871434e-17,0.0,3.0860959683812553e-17,0.0,1.7010024316769623e-16,0.0,0.0,0.0,1.7215175765463614e-16,5.876375774871434e-17
service_first,3,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.7215175765463614e-16,facility_average_power_mw,RegionE:hour=1808,True,0.0,7.105427357601002e-15,0.0,1.1368683772161603e-13,0.0,0.0,0.0,8.881784197001252e-16,5.876375774871434e-17,0.0,3.0860959683812553e-17,0.0,1.7010024316769623e-16,0.0,0.0,0.0,1.7215175765463614e-16,5.876375774871434e-17
service_first,4,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.7215175765463614e-16,facility_average_power_mw,RegionE:hour=1808,True,0.0,7.105427357601002e-15,0.0,1.1368683772161603e-13,0.0,0.0,0.0,8.881784197001252e-16,5.876375774871434e-17,0.0,3.0860959683812553e-17,0.0,1.7010024316769623e-16,0.0,0.0,0.0,1.7215175765463614e-16,5.876375774871434e-17
service_first,5,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.7215175765463614e-16,facility_average_power_mw,RegionE:hour=1808,True,0.0,7.105427357601002e-15,0.0,1.1368683772161603e-13,0.0,0.0,0.0,8.881784197001252e-16,5.876375774871434e-17,0.0,3.0860959683812553e-17,0.0,1.7010024316769623e-16,0.0,0.0,0.0,1.7215175765463614e-16,5.876375774871434e-17
service_first,6,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.7215175765463614e-16,facility_average_power_mw,RegionE:hour=1808,True,0.0,7.105427357601002e-15,0.0,1.1368683772161603e-13,0.0,0.0,0.0,8.881784197001252e-16,5.876375774871434e-17,0.0,3.0860959683812553e-17,0.0,1.7010024316769623e-16,0.0,0.0,0.0,1.7215175765463614e-16,5.876375774871434e-17
balanced,1,5b2059e2803ea4127fc8b369bb8e5ac7cd5753f557057541fca2eb554b24a4c5,1.3642420526593924e-12,1.4901161193847656e-06,1.4901161193847656e-06,1.2203718530730525e-13,cost_CNY,aggregate,True,0.0,1.1368683772161603e-13,8.526512829121202e-14,4.547473508864641e-13,1.4901161193847656e-06,6.750155989720952e-14,1.210719347000122e-08,6.252776074688882e-13,1.332978172285948e-11,0.0,4.944625857759918e-16,4.129981898689881e-16,6.377728528273216e-16,3.39657387054594e-15,3.847232156636839e-14,1.5269756907360512e-15,4.436732039047786e-15,1.2203718530730525e-13
balanced,2,51e98b996bafb52cf16ee7158efeb6be827891f19546368884e984173d8e5c46,1.3642420526593924e-12,1.430511474609375e-06,1.430511474609375e-06,7.883790553618719e-14,cost_CNY,aggregate,True,0.0,1.1368683772161603e-13,8.526512829121202e-14,4.547473508864641e-13,1.430511474609375e-06,3.3861802251067274e-14,6.51925802230835e-09,6.252776074688882e-13,8.924416761146858e-12,0.0,4.944625857759918e-16,4.083591979438533e-16,6.377728528273216e-16,3.2565949439932212e-15,3.3861802251067274e-14,8.219614862277767e-16,4.698473127424332e-15,7.883790553618719e-14
balanced,3,4c3980238cd842083c00a65d2cfea1df71146f2c28112ac0bb362b2f9425f0c4,1.3642420526593924e-12,1.3113021850585938e-06,1.3113021850585938e-06,5.709006579159484e-14,cost_CNY,aggregate,True,0.0,1.1368683772161603e-13,8.526512829121202e-14,4.547473508864641e-13,1.3113021850585938e-06,3.3861802251067274e-14,3.725290298461914e-09,4.831690603168681e-13,6.480149750132114e-12,0.0,4.944625857759918e-16,4.083591979438533e-16,6.377728528273216e-16,2.985016494758878e-15,3.3861802251067274e-14,4.69682605082735e-16,3.673593815625446e-15,5.709006579159484e-14
balanced,4,e7e91ddf20c26543156578080511378498de1189c97ba43ab095a0e0b646dd91,1.3642420526593924e-12,1.3709068298339844e-06,1.3709068298339844e-06,5.844102400540103e-14,cost_CNY,aggregate,True,0.0,1.1368683772161603e-13,8.526512829121202e-14,4.547473508864641e-13,1.3709068298339844e-06,3.3861802251067274e-14,3.725290298461914e-09,5.115907697472721e-13,6.636469151999336e-12,0.0,4.944625857759918e-16,4.083591979438533e-16,6.377728528273216e-16,3.1206358031849704e-15,3.3861802251067274e-14,4.696805140124323e-16,3.889282900779273e-15,5.844102400540103e-14
balanced,5,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,1.3642420526593924e-12,1.430511474609375e-06,1.430511474609375e-06,5.368159184342523e-14,cost_CNY,aggregate,True,0.0,1.1368683772161603e-13,8.526512829121202e-14,4.547473508864641e-13,1.430511474609375e-06,3.3861802251067274e-14,2.7939677238464355e-09,5.115907697472721e-13,6.0964566728216596e-12,0.0,4.944625857759918e-16,4.083591979438533e-16,6.377728528273216e-16,3.2563155899538868e-15,3.3861802251067274e-14,3.5226012654540046e-16,3.891136316004798e-15,5.368159184342523e-14
balanced,6,064ed087cc602725e45ed5ff1d48d4a1167e4dada236ffc02f5a932de6ba0ee6,1.3642420526593924e-12,1.430511474609375e-06,1.430511474609375e-06,5.368149910113365e-14,cost_CNY,aggregate,True,0.0,1.1368683772161603e-13,8.526512829121202e-14,4.547473508864641e-13,1.430511474609375e-06,3.3861802251067274e-14,2.7939677238464355e-09,5.115907697472721e-13,6.0964566728216596e-12,0.0,4.944625857759918e-16,4.083591979438533e-16,6.377728528273216e-16,3.2563211122993183e-15,3.3861802251067274e-14,3.522601652213229e-16,3.89245475310727e-15,5.368149910113365e-14
