case,sample_categories,Scheme,PassID,CandidateID,BaseCandidateID,TaskID,Duration,CandidateStart,incremental_reason,accepted,full_task_feasible,full_grid_feasible,rejection_consistent,capacity_pressure_ratio,grid_import_pressure_ratio,abs_residual_cost_CNY,abs_residual_carbon_tCO2,abs_residual_renewable_used_MWh,abs_residual_service_objective,abs_residual_used_gpu_instant,abs_residual_used_it_power_instant_mw,abs_residual_ai_energy_mwh,abs_residual_facility_average_power_mw,max_absolute_residual,max_relative_residual,worst_quantity,audit_mode
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,1,Q2C057311,Q2C057311,7375,5.61666666666666,95.0,feasible,False,True,True,True,0.9777119333333333,0.0,7.148628355935216e-09,0.0,4.042703949380666e-10,1.8045460958848736e-15,0.0,8.526512829121202e-14,8.526512829121202e-14,2.2737367544323206e-13,7.148628355935216e-09,3.2367898267926606e-12,cost_CNY,
random_feasible_move,accepted|fractional_duration|random_feasible_move|random_fixed_seed,cost_min,1,Q2C059748,Q2C059748,9843,5.050000000000011,206.0,accepted,True,True,True,True,0.8972332015810277,0.0,3.1865056371316314e-08,0.0,3.7283598430803977e-10,1.1813466871402056e-15,0.0,8.526512829121202e-14,5.684341886080802e-14,2.2737367544323206e-13,3.1865056371316314e-08,8.30175027395886e-12,cost_CNY,
random_feasible_move,feasible_but_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_feasible_move|random_fixed_seed|region_migration,cost_min,1,Q2C075858,Q2C075858,26113,3.466666666666697,1926.0,feasible,False,True,True,True,0.9877717391304348,0.0,0.0,0.0,1.3375256457948126e-10,3.3428121382073073e-15,0.0,8.526512829121202e-14,8.526512829121202e-14,2.2737367544323206e-13,1.3375256457948126e-10,3.219498543936065e-11,renewable_used_MWh,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,1,Q2C110177,Q2C110177,11024,4.2666666666666515,546.0,feasible,False,True,True,True,0.8519668737060041,0.0,2.1354935597628355e-08,0.0,6.195932655828074e-12,1.5331919761552015e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.1354935597628355e-08,1.1886621538541596e-10,cost_CNY,
accepted,accepted|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration|return_to_baseline,cost_min,2,Q2C000001,Q2C000001,1,4.666666666666686,456.0,accepted,True,True,True,True,0.9638821428571429,0.0,2.663364284671843e-08,8.881784197001252e-16,4.831690603168681e-10,3.730349362740526e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.663364284671843e-08,4.717272723988262e-12,cost_CNY,
fractional_duration,fractional_duration|no_change|random_fixed_seed,cost_min,2,Q2C000002,Q2C000002,2,3.2999999999999545,1126.0,no_change,False,True,True,True,0.9785853658536586,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
feasible_but_rejected,feasible_but_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration|return_to_baseline,cost_min,2,Q2C000005,Q2C000005,5,2.683333333333394,2233.0,feasible,False,True,True,True,0.891614814814815,0.0,2.9765942599624395e-08,0.0,9.052882887772284e-10,3.661827785439442e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.9765942599624395e-08,2.5035591480847524e-12,cost_CNY,
capacity_rejected,capacity_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration|return_to_baseline,cost_min,2,Q2C001380,Q2C001380,1380,4.4500000000000455,2009.0,gpu_capacity,False,False,True,True,1.006916996047431,0.0,,,,,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,1.7142236696180333e-17,facility_average_power_mw,
random_feasible_move,fractional_duration|high_gpu_demand_task|high_power_task|no_change|random_feasible_move|random_fixed_seed,cost_min,2,Q2C028185,Q2C028185,28185,4.4833333333333485,304.0,no_change,False,True,True,True,0.7287784679089027,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,feasible_but_rejected|fractional_cross_two_hours|fractional_duration|random_feasible_move|random_fixed_seed|region_migration|return_to_baseline,cost_min,2,Q2C040214,Q2C040214,40214,1.2000000000000455,1917.0,feasible,False,True,True,True,0.9619753086419754,0.0,4.0745362639427185e-10,0.0,2.219167072325945e-10,2.4312691616901194e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,4.0745362639427185e-10,4.2675880163953857e-13,cost_CNY,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,2,Q2C042831,Q2C042831,42831,6.349999999999909,1281.0,no_change,False,True,True,True,0.8403532608695652,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,2,Q2C046408,Q2C046408,46408,6.349999999999909,1917.0,no_change,False,True,True,True,0.9914722214285715,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,2,Q2C067846,Q2C067846,18022,2.4500000000000455,1086.0,feasible,False,True,True,True,0.9800032913580248,0.0,0.0,0.0,7.599396667501424e-10,3.025921527233244e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,7.599396667501424e-10,7.599396667501424e-10,renewable_used_MWh,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,2,Q2C071104,Q2C071104,21312,3.0666666666667197,932.0,feasible,False,True,True,True,0.8617268292682927,0.0,0.0,0.0,0.0,2.390067107443418e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,2,Q2C088477,Q2C088477,38862,4.533333333333303,2099.0,feasible,False,True,True,True,0.9686864197530866,0.0,0.0,0.0,2.942783794424031e-10,1.3713585388791527e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.942783794424031e-10,2.942783794424031e-10,renewable_used_MWh,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,2,Q2C101070,Q2C101070,1609,5.133333333333439,1572.0,feasible,False,True,True,True,0.8794841261904764,0.0,0.0,0.0,0.0,4.834662807899279e-14,0.0,1.1368683772161603e-13,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,capacity_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_feasible_move|random_fixed_seed|region_migration,cost_min,2,Q2C115516,Q2C115516,16539,3.400000000000091,1592.0,it_capacity,False,False,True,True,1.0373925925925924,0.0,,,,,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,6.463396627084831e-14,facility_average_power_mw,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,2,Q2C118190,Q2C118190,19301,4.683333333333337,444.0,feasible,False,True,True,True,1.0,0.0,0.0,0.0,0.0,2.3307148312029513e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
fractional_duration,fractional_duration|high_gpu_demand_task|high_power_task|no_change|random_fixed_seed,cost_min,3,Q2C000001,Q2C000001,1,4.666666666666686,456.0,no_change,False,True,True,True,0.6222893513888889,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
feasible_but_rejected,feasible_but_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration|return_to_baseline,cost_min,3,Q2C000005,Q2C000005,5,2.683333333333394,2233.0,feasible,False,True,True,True,0.891614814814815,0.0,2.0379957277327776e-08,0.0,1.7217871572938748e-09,3.661827785439442e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.0379957277327776e-08,1.6792171538222049e-12,cost_CNY,
capacity_rejected,capacity_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration|return_to_baseline,cost_min,3,Q2C001380,Q2C001380,1380,4.4500000000000455,2009.0,gpu_capacity,False,False,True,True,1.006916996047431,0.0,,,,,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,2.5586625221142146e-17,facility_average_power_mw,
accepted,accepted|fractional_duration|random_fixed_seed|region_migration|return_to_baseline,cost_min,3,Q2C001841,Q2C001841,1841,5.466666666666697,956.0,accepted,True,True,True,True,0.8546195652173914,0.0,2.4483597371727228e-08,0.0,1.1849579095724039e-09,9.2148511043888e-15,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.4483597371727228e-08,2.2081605302524473e-09,cost_CNY,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration|return_to_baseline,cost_min,3,Q2C003561,Q2C003561,3561,6.449999999999818,2176.0,feasible,False,True,True,True,0.8457556935817805,0.0,4.361936589702964e-08,0.0,3.8886582842678763e-10,1.0816678499073196e-15,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,4.361936589702964e-08,5.778365504095153e-10,cost_CNY,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,3,Q2C004610,Q2C004610,4610,5.7000000000000455,1617.0,no_change,False,True,True,True,0.989648033126294,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,3,Q2C015717,Q2C015717,15717,3.3333333333333357,54.0,no_change,False,True,True,True,0.9837396833333335,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,hour_boundary|integer_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,3,Q2C018093,Q2C018093,18093,1.0,689.0,no_change,False,True,True,True,0.5955827160493827,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,3,Q2C033273,Q2C033273,33273,3.183333333333394,2218.0,no_change,False,True,True,True,0.9061264822134387,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,3,Q2C033681,Q2C033681,33681,3.4333333333332803,879.0,no_change,False,True,True,True,0.8280632411067194,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,3,Q2C049963,Q2C049963,49963,6.133333333333439,1519.0,no_change,False,True,True,True,0.8961049388888889,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,duration_lt_1h|fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,3,Q2C062152,Q2C062152,12263,0.4500000000000455,2186.0,no_change,False,True,True,True,0.9851238095238095,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,3,Q2C089741,Q2C089741,40139,3.3833333333333258,672.0,feasible,False,True,True,True,0.8120235780487806,0.0,2.521119313314557e-08,0.0,5.086349119665101e-10,3.9057732742486806e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.521119313314557e-08,1.3707855956321028e-11,cost_CNY,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,3,Q2C095888,Q2C095888,46344,4.083333333333485,2198.0,feasible,False,True,True,True,0.792265873809524,0.0,0.0,0.0,0.0,1.838653063352194e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
fractional_duration,fractional_duration|high_gpu_demand_task|high_power_task|no_change|random_fixed_seed,cost_min,4,Q2C000001,Q2C000001,1,4.666666666666686,456.0,no_change,False,True,True,True,0.6222893513888889,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
feasible_but_rejected,feasible_but_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration|return_to_baseline,cost_min,4,Q2C000005,Q2C000005,5,2.683333333333394,2233.0,feasible,False,True,True,True,0.891614814814815,0.0,3.922468749806285e-08,0.0,1.4085799193708226e-10,8.196568423990414e-15,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.922468749806285e-08,3.231938477793633e-12,cost_CNY,
accepted,accepted|duration_lt_1h|fractional_duration|random_fixed_seed|return_to_baseline,cost_min,4,Q2C000490,Q2C000490,490,0.6333333333334394,2014.0,accepted,True,True,True,True,0.6922098759259261,0.0,1.380612957291305e-08,0.0,2.4942892196122557e-10,4.128641872824801e-15,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,1.380612957291305e-08,1.2963575486830418e-11,cost_CNY,
capacity_rejected,capacity_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration|return_to_baseline,cost_min,4,Q2C001380,Q2C001380,1380,4.4500000000000455,2009.0,gpu_capacity,False,False,True,True,1.006916996047431,0.0,,,,,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.2737800857898775e-17,facility_average_power_mw,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,4,Q2C004380,Q2C004380,4380,5.283333333333331,84.0,no_change,False,True,True,True,0.937037037037037,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,fractional_cross_two_hours|fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,4,Q2C007284,Q2C007284,7284,1.883333333333212,2109.0,no_change,False,True,True,True,0.7711918707317074,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,4,Q2C007296,Q2C007296,7296,2.400000000000091,1461.0,no_change,False,True,True,True,0.7502552853658537,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,4,Q2C018080,Q2C018080,18080,3.53333333333336,348.0,no_change,False,True,True,True,0.9005382716049383,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|return_to_baseline,cost_min,4,Q2C044818,Q2C044818,44818,3.800000000000182,2352.0,feasible,False,True,True,True,0.7581521739130435,0.0,9.49512468650937e-09,0.0,1.1474412531242706e-09,2.257482395462418e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,9.49512468650937e-09,7.815878758318455e-12,cost_CNY,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,4,Q2C047554,Q2C047554,47554,5.866666666666561,1072.0,no_change,False,True,True,True,0.8438735177865613,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,4,Q2C052020,Q2C052020,2045,5.399999999999977,286.0,feasible,False,True,True,True,0.9754510296296296,0.0,0.0,0.0,6.780851435905788e-10,9.071302736751718e-15,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,6.780851435905788e-10,6.780851435905788e-10,renewable_used_MWh,
random_feasible_move,duration_lt_1h|feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,4,Q2C068211,Q2C068211,18391,0.4333333333333371,1355.0,feasible,False,True,True,True,0.9489142857142859,0.0,0.0,0.0,5.688320925401058e-10,1.513025815746971e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,5.688320925401058e-10,5.688320925401058e-10,renewable_used_MWh,
random_feasible_move,capacity_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,4,Q2C096725,Q2C096725,47188,5.816666666666606,2112.0,it_capacity,False,False,True,True,1.0027024390243904,0.0,,,,,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,1.9165373443630456e-16,facility_average_power_mw,
random_feasible_move,feasible_but_rejected|fractional_cross_two_hours|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,4,Q2C100394,Q2C100394,910,1.0166666666666515,580.0,feasible,False,True,True,True,0.9711374493827161,0.0,0.0,0.0,3.8835423765704036e-10,2.070972516740599e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.8835423765704036e-10,3.8835423765704036e-10,renewable_used_MWh,
fractional_duration,fractional_duration|high_gpu_demand_task|high_power_task|no_change|random_fixed_seed,cost_min,5,Q2C000001,Q2C000001,1,4.666666666666686,456.0,no_change,False,True,True,True,0.6222893513888889,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
feasible_but_rejected,feasible_but_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration|return_to_baseline,cost_min,5,Q2C000005,Q2C000005,5,2.683333333333394,2233.0,feasible,False,True,True,True,0.891614814814815,0.0,2.0379957277327776e-08,0.0,1.4085799193708226e-10,2.0225141006413594e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.0379957277327776e-08,1.6792171538222049e-12,cost_CNY,
random_feasible_move,feasible_but_rejected|hour_boundary|integer_duration|random_feasible_move|random_fixed_seed|region_migration|return_to_baseline,cost_min,5,Q2C001243,Q2C001243,1243,1.0,1273.0,feasible,False,True,True,True,0.969147968292683,0.0,2.2890162654221058e-08,0.0,6.85417944623623e-10,8.53635738484737e-15,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.2890162654221058e-08,7.623767151487591e-12,cost_CNY,
capacity_rejected,capacity_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration|return_to_baseline,cost_min,5,Q2C001380,Q2C001380,1380,4.4500000000000455,2009.0,gpu_capacity,False,False,True,True,1.006916996047431,0.0,,,,,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.2737800857898775e-17,facility_average_power_mw,
accepted,accepted|fractional_duration|random_fixed_seed|return_to_baseline,cost_min,5,Q2C002073,Q2C002073,2073,6.616666666666674,402.0,accepted,True,True,True,True,0.9735054347826086,0.0,2.3708707885816693e-08,0.0,2.2646418074145913e-10,9.43689570931383e-15,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.3708707885816693e-08,3.808100048925837e-11,cost_CNY,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,5,Q2C037916,Q2C037916,37916,4.633333333333439,1625.0,no_change,False,True,True,True,0.95,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,5,Q2C046270,Q2C046270,46270,2.3000000000000114,450.0,no_change,False,True,True,True,0.4389233954451346,0.0,0.0,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,feasible_but_rejected|hour_boundary|integer_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,5,Q2C060100,Q2C060100,10198,1.0,1247.0,feasible,False,True,True,True,0.9090633753086419,0.0,0.0,0.0,1.0550138540565968e-09,2.2323907384659038e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,1.0550138540565968e-09,1.0550138540565968e-09,renewable_used_MWh,
random_feasible_move,feasible_but_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_feasible_move|random_fixed_seed,cost_min,5,Q2C063595,Q2C063595,13719,2.5,2321.0,feasible,False,True,True,True,0.8371630946428572,0.0,0.0,0.0,0.0,2.0240753517697385e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed,cost_min,5,Q2C072188,Q2C072188,22404,5.033333333333303,2271.0,feasible,False,True,True,True,0.7806324110671937,0.0,0.0,0.0,1.1368683772161603e-13,1.8787488925697815e-14,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13,facility_average_power_mw,
random_feasible_move,capacity_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,5,Q2C077786,Q2C077786,28060,5.033333333333303,2400.0,gpu_capacity,False,False,True,True,1.0360054347826086,0.0,,,,,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,3.410605131648481e-13,2.4218605677392308e-17,facility_average_power_mw,
