scheme,metric,lowest_pass,highest_pass,adjacent_relative_changes,high_vs_low_relative_change,maximum_relative_change,threshold,auxiliary_diagnostic_only,converged
carbon_direct,network_latency_ms,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
carbon_direct,service_objective,1,6,0|0|0|0|0,0.0,0.0,0.001,False,True
carbon_direct,service_quality,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
carbon_direct,migration_count,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
carbon_direct,task_coverage_rate,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
carbon_direct,accepted_improvements,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
renewable_max,cost_CNY,1,6,0.00150290099582967|7.00250926751524e-05|2.47125555290473e-05|0|0,0.0015974945348298175,0.0015974945348298175,0.001,False,True
renewable_max,carbon_tCO2,1,6,0.653300108997471|0.239870832677348|0.256203212068712|0|0,0.6607494141921949,0.6607494141921949,0.001,False,True
renewable_max,renewable_utilization,1,6,0.000335549593160262|2.24301958362917e-05|2.55606296583574e-06|0|0,0.00036052741051965904,0.00036052741051965904,0.01,True,True
renewable_max,renewable_used_MWh,1,6,0.000335549593160336|2.24301958362967e-05|2.55606296579056e-06|0|0,0.0003605274105196924,0.0003605274105196924,0.001,False,True
renewable_max,network_latency_ms,1,6,0.0119062944061374|0.000121953858221902|0.000304476358707114|0|0,0.011484798359876754,0.0119062944061374,0.01,True,True
renewable_max,service_objective,1,6,0.0153411904708582|0.00419726489298097|0.000172761819752585|0|0,0.019643461768621372,0.019643461768621372,0.001,False,True
renewable_max,service_quality,1,6,0.0153043482319795|0.00418722726667137|0.000172348736528865|0|0,0.019596493147140875,0.019596493147140875,0.01,True,True
renewable_max,migration_count,1,6,0.0126283886176124|0.000449009373070663|0.000224605536526475|0|0,0.011962931760741365,0.012628388617612393,0.01,True,True
renewable_max,task_coverage_rate,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
renewable_max,accepted_improvements,1,6,0.0369448114645797|0.00565942395149065|0.000959159977787874|0|0,0.04331364531273663,0.04331364531273663,0.01,True,True
service_first,cost_CNY,1,6,0|0|0|0|0,0.0,0.0,0.001,False,True
service_first,carbon_tCO2,1,6,0|0|0|0|0,0.0,0.0,0.001,False,True
service_first,renewable_utilization,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
service_first,renewable_used_MWh,1,6,0|0|0|0|0,0.0,0.0,0.001,False,True
service_first,network_latency_ms,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
service_first,service_objective,1,6,0|0|0|0|0,0.0,0.0,0.001,False,True
service_first,service_quality,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
service_first,migration_count,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
service_first,task_coverage_rate,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
service_first,accepted_improvements,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
balanced,cost_CNY,1,6,0.00126229274451551|6.55019585919872e-05|2.02709444973967e-05|9.44652444555999e-09|1.69588478574479e-06,0.0013462718831083389,0.0013462718831083389,0.001,False,True
balanced,carbon_tCO2,1,6,0.756324812382012|0|0|0|0,0.7563248123820117,0.7563248123820117,0.001,False,True
balanced,renewable_utilization,1,6,0.000311588288206041|2.05938274167142e-05|4.452092285276e-06|7.35149152434612e-07|1.09793630659455e-07,0.0003372514573150216,0.0003372514573150216,0.01,True,True
balanced,renewable_used_MWh,1,6,0.000311588288206118|2.05938274165883e-05|4.45209228536962e-06|7.35149152382261e-07|1.09793630638339e-07,0.0003372514573150351,0.0003372514573150351,0.001,False,True
balanced,network_latency_ms,1,6,0.00601909144626325|0.000509206888126648|0.00010988577702262|3.6565193145278e-05|1.01519233078379e-05,0.006587993142599779,0.006587993142599779,0.01,True,True
balanced,service_objective,1,6,0.0557076908344543|0.0116930428469671|0.000104036300927469|0.000476317218161179|0.000338716102330815,0.06741279815883727,0.06741279815883727,0.001,False,True
balanced,service_quality,1,6,0.0553151952515525|0.0116058340635128|0.000103251349881954|0.000472723417775493|0.000336159289936238,0.06693783276156359,0.06693783276156359,0.01,True,True
balanced,migration_count,1,6,0.00342263661040954|0.000767142688540068|0.000472450245083565|5.90841949778434e-05|5.90876861262113e-05,0.0020681912190509957,0.003422636610409536,0.01,True,True
balanced,task_coverage_rate,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
balanced,accepted_improvements,1,6,0.0418112969390975|0.00684251762862366|0.00151246479607802|0.000417057658221249|5.21294896522963e-05,0.05025282802481364,0.05025282802481364,0.01,True,True
