Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AITrainingPower_MW,GPU_Utilization_Percent,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,BaselineCurtailment_MW,IT_Load_MW,Total_Load_MW,BaselineGridPurchase_MW,GridCharge_MW,BaselineGridSell_MW,NetGridImport_MW,CarbonEmission_tCO2,DemandResponseLevel,SOC_MWh,ChargePower_MW,DischargePower_MW,Baseline_AI_IT_Load_MW,NonAI_IT_Load_MW,DataPeriod,AI_IT_Load_MW,FacilityLoad_MW,RenewableUse_MW,OptimizedGridPurchase_MW,GridImportLimit_MW,GridExportLimit_MW,OptimizedGridSell_MW,OptimizedCurtailment_MW
16,RegionA,Flat,727.14,0.0,0.5954,8.0,24.981481,800.0,48.764,0.0,751.236,247.44,334.044,285.28,0.0,0.0,285.28,169.8557,Low,350.0,0.0,0.0,18.2506666667,229.189333,Main_0_2399,18.250666666666667,334.04399955,334.04399955,0.0,550.0,0.0,0.0,465.95600045
17,RegionA,Peak,1054.92,0.0,0.6062,6.6666666667,24.343915,722.35,44.7522,0.0,677.5978,234.75,316.9125,227.1603,0.0,0.0,227.1603,137.7046,Medium,301.087,0.0,45.0,17.3196666667,217.430333,Main_0_2399,17.319666666666656,316.91249955,316.91249955,0.0,550.0,0.0,0.0,405.43750045
18,RegionA,Peak,1055.49,0.0,0.6188,6.56,25.12963,650.0,40.4249,0.0,609.5751,221.81,299.4435,214.0186,0.0,0.0,214.0186,132.4347,Medium,252.1739,0.0,45.0,17.6596666667,204.150333,Main_0_2399,17.659666666666666,299.44349955,299.44349955,0.0,550.0,0.0,0.0,350.55650045
19,RegionA,Peak,1056.03,0.0,0.6321,47.36,66.269841,587.87,49.3799,0.0,538.4901,286.29,386.4915,292.1116,0.0,0.0,292.1116,184.6437,Medium,203.2609,0.0,45.0,58.8706666667,227.419333,Main_0_2399,58.870666666666665,386.49149954999996,386.49149954999996,0.0,550.0,0.0,0.0,201.37850045000005
20,RegionA,Peak,1056.56,0.0,0.6455,47.36,64.621693,540.19,39.7062,0.0,500.4838,245.1,330.885,246.1788,0.0,0.0,246.1788,158.9084,Medium,154.3478,0.0,45.0,58.0036666667,187.096333,Main_0_2399,58.00366666666666,330.88499955,330.88499955,0.0,550.0,0.0,0.0,209.30500045000008
21,RegionA,Peak,1057.08,0.0,0.658,56.8,72.044974,510.22,45.1348,0.0,465.0852,278.61,376.1235,285.9887,0.0,0.0,285.9887,188.1806,Medium,105.4348,0.0,45.0,66.149,212.461,Main_0_2399,66.149,376.12350000000004,376.12350000000004,0.0,550.0,0.0,0.0,134.0965
22,RegionA,Flat,656.43,0.0,0.6687,56.8,72.981481,500.0,46.5604,54.4127,399.0268,287.41,388.0035,341.4431,0.0,0.0,341.4431,228.323,Low,156.0386,54.4127,0.0,66.5626666667,220.847333,Main_0_2399,66.56266666666667,388.00349954999996,388.00349954999996,0.0,550.0,0.0,0.0,111.99650045000004
23,RegionA,Flat,656.73,0.0,0.6771,70.2613333333,88.195767,510.22,49.0714,55.0,406.1486,302.91,408.9285,359.8571,0.0,0.0,359.8571,243.6592,Low,207.1886,55.0,0.0,81.1746666667,221.735333,Main_0_2399,81.17466666666667,408.92849954999997,408.92849954999997,0.0,550.0,0.0,0.0,101.29150045000006
24,RegionA,Valley,474.52,0.0,0.6825,46.6053333333,63.391534,540.19,57.3788,55.0,427.8112,354.19,478.1565,438.7777,18.0,0.0,438.7777,299.4658,Medium,275.0786,73.0,0.0,56.8933333333,297.296667,Main_0_2399,56.89333333333332,478.15650045,478.15650045,0.0,550.0,0.0,0.0,62.033499550000045
25,RegionA,Valley,474.72,0.0,0.6846,16.008,25.928571,587.87,59.4815,55.0,473.3885,367.17,495.6795,454.198,18.0,0.0,454.198,310.9439,Medium,342.9686,73.0,0.0,21.8206666667,345.349333,Main_0_2399,21.820666666666675,495.67949955000006,495.67949955000006,0.0,550.0,0.0,0.0,92.19050044999994
26,RegionA,Valley,474.91,0.0,0.6833,5.168,15.232804,650.0,65.3184,0.0,584.6816,403.2,544.32,486.5622,7.5606,0.0,486.5622,332.468,Medium,350.0,7.5606,0.0,10.8413333333,392.358667,Main_0_2399,10.841333333333331,544.3200004500001,544.3200004500001,0.0,550.0,0.0,0.0,105.67999954999993
27,RegionA,Valley,475.1,0.0,0.6787,0.0,9.857143,722.35,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,325.0984,Medium,350.0,0.0,0.0,5.35,397.85,Main_0_2399,5.350000000000002,544.32,544.32,0.0,550.0,0.0,0.0,178.02999999999997
28,RegionA,Valley,475.28,0.0,0.6712,0.0,12.261905,800.0,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,321.5059,Medium,350.0,0.0,0.0,6.56,396.64,Main_0_2399,6.5600000000000005,544.32,544.32,0.0,550.0,0.0,0.0,255.67999999999995
29,RegionA,Valley,475.45,0.0,0.6612,16.8,29.380952,877.65,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,316.7159,Medium,350.0,0.0,0.0,23.8226666667,379.377333,Main_0_2399,23.822666666666667,544.3199995500001,544.3199995500001,0.0,550.0,0.0,0.0,333.33000044999983
30,RegionA,Valley,475.61,0.0,0.6496,40.96,51.462963,950.0,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,311.1594,Medium,350.0,0.0,0.0,46.8983333333,356.301667,Main_0_2399,46.89833333333333,544.3200004500001,544.3200004500001,0.0,550.0,0.0,0.0,405.67999954999993
31,RegionA,Flat,731.94,0.0,0.637,51.04,61.849206,1012.13,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,305.124,Medium,350.0,0.0,0.0,57.1696666667,346.030333,Main_0_2399,57.169666666666664,544.31999955,544.31999955,0.0,550.0,0.0,0.0,467.81000044999996
32,RegionA,Flat,732.16,0.0,0.6245,36.2506666667,42.89418,1059.81,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,299.1365,Medium,350.0,0.0,0.0,39.9373333333,363.262667,Main_0_2399,39.93733333333332,544.3200004500001,544.3200004500001,0.0,550.0,0.0,0.0,515.4899995499999
33,RegionA,Flat,732.37,0.0,0.6128,23.248,36.949735,1089.78,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,290.9422,Medium,350.0,0.0,0.0,31.461,371.739,Main_0_2399,31.460999999999977,544.3199999999999,544.3199999999999,0.0,550.0,0.0,0.0,545.46
34,RegionA,Flat,732.56,0.0,0.6027,23.56,41.92328,1100.0,72.3077,0.0,1027.6923,396.75,535.6125,463.3048,0.0,0.0,463.3048,279.2338,Medium,350.0,0.0,0.0,34.4266666667,362.323333,Main_0_2399,34.42666666666663,535.6124995499999,535.6124995499999,0.0,550.0,0.0,0.0,564.3875004500001
35,RegionA,Flat,732.74,0.0,0.595,8.16,24.632275,1089.78,72.9266,0.0,1016.8534,382.54,516.429,443.5024,0.0,0.0,443.5024,263.8839,Medium,350.0,0.0,0.0,17.9113333333,364.628667,Main_0_2399,17.91133333333334,516.4290004500001,516.4290004500001,0.0,550.0,0.0,0.0,573.3509995499999
36,RegionA,Flat,732.9,0.0,0.5902,19.04,35.388889,1059.81,67.7639,0.0,992.0461,343.85,464.1975,396.4336,0.0,0.0,396.4336,233.9751,Medium,350.0,0.0,0.0,28.866,314.984,Main_0_2399,28.866,464.1975,464.1975,0.0,550.0,0.0,0.0,595.6125
37,RegionA,Flat,733.05,0.0,0.5887,28.0,44.57672,1012.13,65.4163,0.0,946.7137,325.26,439.101,373.6847,0.0,0.0,373.6847,219.9882,Low,350.0,0.0,0.0,38.0463333333,287.213667,Main_0_2399,38.04633333333334,439.10100045,439.10100045,0.0,550.0,0.0,0.0,573.02899955
38,RegionA,Flat,733.18,0.0,0.5905,28.0,39.582011,950.0,63.3631,0.0,886.6369,312.904,422.4204,359.0573,0.0,0.0,359.0573,212.0234,Low,350.0,0.0,0.0,35.0,277.904,Main_0_2399,35.000000000000014,422.42040000000003,422.42040000000003,0.0,550.0,0.0,0.0,527.5796
39,RegionA,Flat,733.3,0.0,0.5955,21.5786666667,35.462963,877.65,59.7596,0.0,817.8904,297.134,401.1309,341.3713,0.0,0.0,341.3713,203.2866,Low,350.0,0.0,0.0,29.7793333333,267.354667,Main_0_2399,29.779333333333312,401.13090045000007,401.13090045000007,0.0,550.0,0.0,0.0,476.5190995499999
40,RegionA,Flat,733.4,0.0,0.6035,6.8453333333,23.814815,800.0,54.7728,0.0,745.2272,277.93,375.2055,320.4327,0.0,0.0,320.4327,193.3811,Low,350.0,0.0,0.0,16.8766666667,261.053333,Main_0_2399,16.876666666666647,375.20549955,375.20549955,0.0,550.0,0.0,0.0,424.79450045
41,RegionA,Peak,1063.56,0.0,0.6138,0.0,19.695767,722.35,46.4451,0.0,675.9049,243.63,328.9005,237.4554,0.0,0.0,237.4554,145.7501,Medium,301.087,0.0,45.0,11.5733333333,232.056667,Main_0_2399,11.57333333333333,328.90050045000004,328.90050045000004,0.0,550.0,0.0,0.0,393.44949955
42,RegionA,Peak,1063.67,0.0,0.6258,0.0,24.780423,650.0,39.1491,0.0,610.8509,214.81,289.9935,205.8444,0.0,0.0,205.8444,128.8174,Medium,252.1739,0.0,45.0,14.3893333333,200.420667,Main_0_2399,14.389333333333335,289.99350045,289.99350045,0.0,550.0,0.0,0.0,360.00649955
43,RegionA,Peak,1063.75,0.0,0.6386,0.0,30.716931,587.87,37.9875,0.0,549.8825,220.24,297.324,214.3365,0.0,0.0,214.3365,136.8753,Medium,203.2609,0.0,45.0,18.451,201.789,Main_0_2399,18.451000000000004,297.324,297.324,0.0,550.0,0.0,0.0,290.546
44,RegionA,Peak,1063.82,0.0,0.6514,17.76,38.952381,540.19,41.5611,0.0,498.6289,256.55,346.3425,259.7814,0.0,0.0,259.7814,169.2216,Medium,154.3478,0.0,45.0,30.542,226.008,Main_0_2399,30.54200000000001,346.34250000000003,346.34250000000003,0.0,550.0,0.0,0.0,193.84750000000003
45,RegionA,Peak,1063.86,0.0,0.6633,17.76,35.362434,510.22,39.3417,0.0,470.8783,242.85,327.8475,243.5058,0.0,0.0,243.5058,161.5174,Medium,105.4348,0.0,45.0,28.4393333333,214.410667,Main_0_2399,28.439333333333337,327.84750045000004,327.84750045000004,0.0,550.0,0.0,0.0,182.37249955
46,RegionA,Flat,660.34,0.0,0.6735,26.24,44.18254,500.0,50.0305,53.9963,395.9732,308.83,416.9205,366.89,0.0,0.0,366.89,247.1004,Low,155.6514,53.9963,0.0,37.2476666667,271.582333,Main_0_2399,37.247666666666674,416.9204995500001,416.9204995500001,0.0,550.0,0.0,0.0,83.0795004499999
47,RegionA,Flat,660.33,0.0,0.6812,37.28,49.412698,510.22,53.1295,54.8509,402.2396,327.96,442.746,389.6165,0.0,0.0,389.6165,265.4067,Low,206.6627,54.8509,0.0,44.504,283.456,Main_0_2399,44.504000000000005,442.7460000000001,442.7460000000001,0.0,550.0,0.0,0.0,67.47399999999993
48,RegionA,Valley,476.9,0.0,0.686,42.368,54.989418,540.19,56.6449,55.0,428.5451,349.66,472.041,433.3961,18.0,0.0,433.3961,297.3097,Medium,274.5527,73.0,0.0,50.0063333333,299.653667,Main_0_2399,50.00633333333335,472.04100045000007,472.04100045000007,0.0,550.0,0.0,0.0,68.14899954999998
49,RegionA,Valley,476.88,0.0,0.6876,33.3226666667,43.412698,587.87,63.6482,55.0,469.2218,392.89,530.4015,484.7533,18.0,0.0,484.7533,333.3164,Medium,342.4427,73.0,0.0,39.4333333333,353.456667,Main_0_2399,39.433333333333316,530.4015004500001,530.4015004500001,0.0,550.0,0.0,0.0,57.46849954999993
50,RegionA,Valley,476.85,0.0,0.6857,28.464,40.142857,650.0,65.3184,0.0,584.6816,403.2,544.32,487.1277,8.1261,0.0,487.1277,334.0235,Medium,350.0,8.1261,0.0,35.644,367.556,Main_0_2399,35.644000000000034,544.32,544.32,0.0,550.0,0.0,0.0,105.67999999999995
51,RegionA,Valley,476.81,0.0,0.6805,27.84,38.582011,722.35,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,325.9606,Medium,350.0,0.0,0.0,34.231,368.969,Main_0_2399,20.470999999999993,525.744,525.744,0.0,550.0,0.0,0.0,196.606
52,RegionA,Valley,476.76,0.0,0.6724,27.84,41.907407,800.0,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,322.0807,Medium,350.0,0.0,0.0,36.1813333333,367.018667,Main_0_2399,22.421333333333333,525.74400045,525.74400045,0.0,550.0,0.0,0.0,274.25599954999996
53,RegionA,Valley,476.7,0.0,0.6618,27.84,44.246032,877.65,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,317.0033,Medium,350.0,0.0,0.0,37.58,365.62,Main_0_2399,23.82,525.744,525.744,0.0,550.0,0.0,0.0,351.90599999999995
54,RegionA,Valley,476.63,0.0,0.6496,27.84,47.719577,950.0,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,311.1594,Medium,350.0,0.0,0.0,39.7526666667,363.447333,Main_0_2399,25.992666666666665,525.74399955,525.74399955,0.0,550.0,0.0,0.0,424.25600045
55,RegionA,Flat,733.16,0.0,0.6364,10.2506666667,25.269841,1012.13,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,304.8366,Medium,350.0,0.0,0.0,19.1293333333,384.070667,Main_0_2399,15.91866666666666,539.98560045,539.98560045,0.0,550.0,0.0,0.0,472.14439955
56,RegionA,Flat,733.03,0.0,0.6233,0.0,12.920635,1059.81,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,298.5617,Medium,350.0,0.0,0.0,7.492,395.708,Main_0_2399,7.492000000000001,544.32,544.32,0.0,550.0,0.0,0.0,515.4899999999999
57,RegionA,Flat,732.89,0.0,0.6109,0.0,14.238095,1089.78,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,290.0402,Medium,350.0,0.0,0.0,8.361,394.839,Main_0_2399,8.361000000000008,544.32,544.32,0.0,550.0,0.0,0.0,545.4599999999999
58,RegionA,Flat,732.74,0.0,0.6003,0.0,15.650794,1100.0,73.4832,0.0,1026.5168,403.2,544.32,470.8368,0.0,0.0,470.8368,282.6433,Medium,350.0,0.0,0.0,9.458,393.742,Main_0_2399,9.458000000000004,544.32,544.32,0.0,550.0,0.0,0.0,555.68
59,RegionA,Flat,732.57,0.0,0.592,0.0,8.910053,1089.78,68.8774,0.0,1020.9026,361.3,487.755,418.8776,0.0,0.0,418.8776,247.9755,Medium,350.0,0.0,0.0,5.5273333333,355.772667,Main_0_2399,5.527333333333329,487.75500045000007,487.75500045000007,0.0,550.0,0.0,0.0,602.0249995499998
60,RegionA,Flat,732.39,0.0,0.5866,0.0,8.592593,1059.81,68.5029,0.0,991.3071,347.6,469.26,400.7571,0.0,0.0,400.7571,235.0841,Medium,350.0,0.0,0.0,5.2766666667,342.323333,Main_0_2399,5.276666666666667,469.25999955,469.25999955,0.0,550.0,0.0,0.0,590.55000045
61,RegionA,Flat,732.19,0.0,0.5845,0.0,9.330688,1012.13,69.31,0.0,942.82,344.62,465.237,395.927,0.0,0.0,395.927,231.4193,Medium,350.0,0.0,0.0,5.3703333333,339.249667,Main_0_2399,5.370333333333333,465.23700045000004,465.23700045000004,0.0,550.0,0.0,0.0,546.89299955
62,RegionA,Flat,731.99,0.0,0.5857,16.0,24.219577,950.0,66.6146,0.0,883.3854,328.961,444.0974,377.4828,0.0,0.0,377.4828,221.0917,Low,350.0,0.0,0.0,20.72,308.241,Main_0_2399,20.719999999999995,444.09734999999995,444.09734999999995,0.0,550.0,0.0,0.0,505.90265000000005
63,RegionA,Flat,731.77,0.0,0.5902,14.3306666667,25.02381,877.65,61.7835,0.0,815.8665,307.197,414.716,352.9325,0.0,0.0,352.9325,208.3008,Low,350.0,0.0,0.0,20.7773333333,286.419667,Main_0_2399,20.777333333333406,414.7159504500001,414.7159504500001,0.0,550.0,0.0,0.0,462.9340495499999
64,RegionA,Flat,731.55,0.0,0.5976,0.0,11.584656,800.0,47.9859,0.0,752.0141,243.492,328.7142,280.7283,0.0,0.0,280.7283,167.7632,Low,350.0,0.0,0.0,6.972,236.52,Main_0_2399,6.972000000000017,328.71420000000006,328.71420000000006,0.0,550.0,0.0,0.0,471.28579999999994
65,RegionA,Peak,1060.4,0.0,0.6073,0.0,8.560847,722.35,46.7063,0.0,675.6437,245.0,330.75,239.0437,0.0,0.0,239.0437,145.1713,Medium,301.087,0.0,45.0,5.1093333333,239.890667,Main_0_2399,5.109333333333328,330.75000045,330.75000045,0.0,550.0,0.0,0.0,391.59999955
66,RegionA,Peak,1060.05,0.0,0.6188,7.1146666667,24.835979,650.0,41.4637,0.0,608.5363,227.51,307.1385,220.6748,0.0,0.0,220.6748,136.5536,Medium,252.1739,0.0,45.0,18.0146666667,209.495333,Main_0_2399,18.01466666666669,307.13849955000006,307.13849955000006,0.0,550.0,0.0,0.0,342.86150044999994
67,RegionA,Peak,1059.68,0.0,0.631,16.32,32.140212,587.87,33.5806,0.0,554.2894,194.69,262.8315,184.2509,0.0,0.0,184.2509,116.2623,Medium,203.2609,0.0,45.0,25.718,168.972,Main_0_2399,25.718000000000007,262.83150000000006,262.83150000000006,0.0,550.0,0.0,0.0,325.03849999999994
68,RegionA,Peak,1059.29,0.0,0.6433,16.32,29.597884,540.19,40.9763,0.0,499.2137,252.94,341.469,255.4927,0.0,0.0,255.4927,164.3585,Medium,154.3478,0.0,45.0,24.1533333333,228.786667,Main_0_2399,24.153333333333332,341.46900045,341.46900045,0.0,550.0,0.0,0.0,198.72099955000004
69,RegionA,Peak,1058.9,0.0,0.6547,31.04,44.912698,510.22,40.7187,0.0,469.5013,251.35,339.3225,253.6038,0.0,0.0,253.6038,166.0344,Medium,105.4348,0.0,45.0,39.435,211.915,Main_0_2399,39.435,339.3225,339.3225,0.0,550.0,0.0,0.0,170.89750000000004
70,RegionA,Flat,656.99,0.0,0.6644,30.0586666667,44.994709,500.0,43.1941,54.8167,401.9892,266.63,359.9505,316.7564,0.0,0.0,316.7564,210.453,Low,156.4143,54.8167,0.0,39.1346666667,227.495333,Main_0_2399,39.134666666666725,359.9504995500001,359.9504995500001,0.0,550.0,0.0,0.0,140.04950044999993
71,RegionA,Flat,656.73,0.0,0.6716,20.0,36.037037,510.22,56.41,54.4572,399.3528,348.21,470.0835,413.6735,0.0,0.0,413.6735,277.8231,Medium,207.0595,54.4572,0.0,29.7713333333,318.438667,Main_0_2399,29.771333333333338,470.0835004500001,470.0835004500001,0.0,550.0,0.0,0.0,40.13649954999994
72,RegionA,Valley,474.12,0.0,0.676,29.136,42.320106,540.19,55.08,55.0,430.11,340.0,459.0,421.92,18.0,0.0,421.92,285.2179,Medium,274.9495,73.0,0.0,37.1573333333,302.842667,Main_0_2399,37.15733333333344,459.0000004500002,459.0000004500002,0.0,550.0,0.0,0.0,81.18999954999987
73,RegionA,Valley,473.92,0.0,0.677,19.9973333333,40.10582,587.87,63.7794,55.0,469.0906,393.7,531.495,485.7156,18.0,0.0,485.7156,328.8295,Medium,342.8395,73.0,0.0,32.178,361.522,Main_0_2399,32.17800000000001,531.495,531.495,0.0,550.0,0.0,0.0,56.375
74,RegionA,Valley,473.72,0.0,0.6747,19.2,39.814815,650.0,65.3184,0.0,584.6816,403.2,544.32,486.701,7.6994,0.0,486.701,328.3772,Medium,350.0,7.6994,0.0,31.7413333333,371.458667,Main_0_2399,31.741333333333337,544.3200004500001,544.3200004500001,0.0,550.0,0.0,0.0,105.67999954999993
75,RegionA,Valley,473.51,0.0,0.6691,19.2,30.666667,722.35,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,320.5,Medium,350.0,0.0,0.0,26.1,377.1,Main_0_2399,26.100000000000016,544.32,544.32,0.0,550.0,0.0,0.0,178.02999999999997
76,RegionA,Valley,473.31,0.0,0.6606,12.8,21.60582,800.0,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,316.4285,Medium,350.0,0.0,0.0,17.99,385.21,Main_0_2399,17.990000000000084,544.32,544.32,0.0,550.0,0.0,0.0,255.67999999999995
77,RegionA,Valley,473.1,0.0,0.6496,18.72,36.388889,877.65,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,311.1594,Medium,350.0,0.0,0.0,29.36,373.84,Main_0_2399,29.359999999999996,544.32,544.32,0.0,550.0,0.0,0.0,333.3299999999999
78,RegionA,Valley,472.88,0.0,0.637,18.72,39.071429,950.0,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,305.124,Medium,350.0,0.0,0.0,30.8833333333,372.316667,Main_0_2399,30.883333333333358,544.3200004500001,544.3200004500001,0.0,550.0,0.0,0.0,405.67999954999993
79,RegionA,Flat,727.18,0.0,0.6235,18.72,40.502646,1012.13,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,298.6575,Medium,350.0,0.0,0.0,31.8046666667,371.395333,Main_0_2399,31.80466666666667,544.31999955,544.31999955,0.0,550.0,0.0,0.0,467.81000044999996
80,RegionA,Flat,726.85,0.0,0.6099,11.16,29.060847,1059.81,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,292.1431,Medium,350.0,0.0,0.0,21.9013333333,381.298667,Main_0_2399,21.901333333333373,544.3200004500001,544.3200004500001,0.0,550.0,0.0,0.0,515.4899995499999
