Region,Hour,GPU_Utilization_Percent
RegionE,2381,69.78590250328952
RegionE,2382,44.128787878789694
RegionE,2383,56.55961791831576
RegionE,2384,62.96936758893263
RegionE,2385,72.25461133069896
RegionE,2386,68.37450592885585
RegionE,2387,76.83135704874942
RegionE,2388,55.53359683794484
RegionE,2389,53.741765480898266
RegionE,2390,97.78656126482464
RegionE,2391,98.18675889328037
RegionE,2392,87.29413702239661
RegionE,2393,67.71574440052764
RegionE,2394,80.2997364953905
RegionE,2395,90.67523056654183
RegionE,2396,66.81159420289936
RegionE,2397,68.44861660078843
RegionE,2398,65.03623188405598
RegionE,2399,56.83465085639024
RegionE,2400,42.89525691699599
RegionE,2401,36.432806324110295
RegionE,2402,29.889657444005923
RegionE,2403,25.5418313570494
RegionE,2404,11.928524374179158
RegionE,2405,1.704545454546488
RegionF,2376,30.227743271218753
RegionF,2377,43.21428571428541
RegionF,2378,68.31953071083464
RegionF,2379,72.55348516217933
RegionF,2380,96.81504485852334
RegionF,2381,90.42270531400894
RegionF,2382,56.797791580402
RegionF,2383,42.16873706004225
RegionF,2384,39.37888198757591
RegionF,2385,68.69565217391327
RegionF,2386,78.5093167701861
RegionF,2387,75.06038647342987
RegionF,2388,91.97722567287384
RegionF,2389,58.86473429951769
RegionF,2390,55.95410628019392
RegionF,2391,60.7988267770875
RegionF,2392,77.22049689440595
RegionF,2393,57.99516908212864
RegionF,2394,70.53312629399471
RegionF,2395,64.39958592132429
RegionF,2396,67.55693581780486
RegionF,2397,68.06418219461689
RegionF,2398,74.77225672877901
RegionF,2399,82.324016563146
RegionF,2400,60.41580400276185
RegionF,2401,38.36956521739023
RegionF,2402,18.77846790890228
RegionF,2403,6.3146997929606625
RegionF,2404,0.0
RegionF,2405,0.0
