Hour,Region,TaskType,Prediction_GPU,Actual_GPU
2377,RegionA,AITraining,0.0,0.0
2378,RegionA,AITraining,0.0,0.0
2379,RegionA,AITraining,0.0,0.0
2380,RegionA,AITraining,7.900069801850574e-06,122.0
2381,RegionA,AITraining,6.181717975212724e-06,0.0
2382,RegionA,AITraining,7.927376201168349e-06,0.0
2383,RegionA,AITraining,1.1340526960253506e-05,0.0
2384,RegionA,AITraining,3.106305336155239e-05,0.0
2385,RegionA,AITraining,4.6339777791907e-05,0.0
2386,RegionA,AITraining,6.292493629872289e-05,0.0
2387,RegionA,AITraining,7.592388930345578e-05,0.0
2388,RegionA,AITraining,8.684813422367489e-05,103.0
2389,RegionA,AITraining,9.15643324253032e-05,0.0
2390,RegionA,AITraining,9.936340368552672e-05,0.0
2391,RegionA,AITraining,9.751828930838947e-05,101.0
2392,RegionA,AITraining,9.35791152701809e-05,0.0
2393,RegionA,AITraining,9.376006561649098e-05,0.0
2394,RegionA,AITraining,8.285812668517487e-05,0.0
2395,RegionA,AITraining,7.568347932081097e-05,0.0
2396,RegionA,AITraining,6.172050022738653e-05,95.0
2397,RegionA,AITraining,4.112543929484136e-05,158.0
2398,RegionA,AITraining,2.3733743158913332e-05,0.0
2399,RegionA,AITraining,7.69225825346109e-06,0.0
2376,RegionB,RealTimeInference,8.266011494239704,11.0
2377,RegionB,RealTimeInference,7.705963582594387,6.0
2378,RegionB,RealTimeInference,7.261115705264437,5.0
2379,RegionB,RealTimeInference,7.069910106965086,1.0
2380,RegionB,RealTimeInference,7.047590127919616,9.0
2381,RegionB,RealTimeInference,6.973713606884636,7.0
2382,RegionB,RealTimeInference,6.983655754515503,7.0
2383,RegionB,RealTimeInference,7.213187257241905,9.0
2384,RegionB,RealTimeInference,7.211959652480308,7.0
2385,RegionB,RealTimeInference,7.184975554074381,12.0
2386,RegionB,RealTimeInference,7.208230691875723,18.0
2387,RegionB,RealTimeInference,7.681263489390294,15.0
2388,RegionB,RealTimeInference,7.688502314879873,1.0
2389,RegionB,RealTimeInference,7.677877271943072,0.0
2390,RegionB,RealTimeInference,7.5012038170774105,8.0
2391,RegionB,RealTimeInference,7.091524247349175,8.0
2392,RegionB,RealTimeInference,7.354497400890787,3.0
2393,RegionB,RealTimeInference,7.4446035765755845,13.0
2394,RegionB,RealTimeInference,7.745678864691355,17.0
2395,RegionB,RealTimeInference,7.7222243763745615,4.0
2396,RegionB,RealTimeInference,7.735205795621494,14.0
2397,RegionB,RealTimeInference,7.633032154771311,7.0
2398,RegionB,RealTimeInference,7.444978963572897,7.0
2399,RegionB,RealTimeInference,7.772679372085873,1.0
2376,RegionB,BatchInference,16.362192601179466,26.0
2377,RegionB,BatchInference,17.398126886194625,4.0
2378,RegionB,BatchInference,16.014360308853256,18.0
2379,RegionB,BatchInference,17.846445770051446,15.0
2380,RegionB,BatchInference,16.217542837106798,19.0
2381,RegionB,BatchInference,16.75410550056679,4.0
2382,RegionB,BatchInference,16.90699153810874,8.0
2383,RegionB,BatchInference,16.683024959798427,33.0
2384,RegionB,BatchInference,15.772020349578924,0.0
2385,RegionB,BatchInference,15.189026051324113,33.0
2386,RegionB,BatchInference,16.421830727871374,51.0
2387,RegionB,BatchInference,13.89547935544778,33.0
2388,RegionB,BatchInference,13.75906727755832,10.0
2389,RegionB,BatchInference,14.942792798059815,13.0
2390,RegionB,BatchInference,15.33399323580691,30.0
2391,RegionB,BatchInference,14.49870958798073,29.0
2392,RegionB,BatchInference,13.773103196513848,8.0
2393,RegionB,BatchInference,14.811264739075938,0.0
2394,RegionB,BatchInference,15.470285663205951,61.0
2395,RegionB,BatchInference,15.576509934037183,0.0
2396,RegionB,BatchInference,12.53836736591752,17.0
2397,RegionB,BatchInference,17.93771847802077,19.0
2398,RegionB,BatchInference,15.705963938091504,21.0
2399,RegionB,BatchInference,16.41208654803422,75.0
2376,RegionB,AITraining,0.00016762090996968182,0.0
2377,RegionB,AITraining,0.00014481875871154775,0.0
2378,RegionB,AITraining,0.0001328672282581601,0.0
2379,RegionB,AITraining,0.000128444123594486,0.0
2380,RegionB,AITraining,0.0001310125114521098,142.0
2381,RegionB,AITraining,0.00010483292167348885,71.0
2382,RegionB,AITraining,0.00010778748702567394,0.0
2383,RegionB,AITraining,0.00011413408416398153,0.0
2384,RegionB,AITraining,9.501486482870248e-05,78.0
2385,RegionB,AITraining,0.0001159678789407952,0.0
2386,RegionB,AITraining,8.953240489268033e-05,113.0
2387,RegionB,AITraining,0.00010398304227555175,0.0
2388,RegionB,AITraining,0.00010529913722695047,0.0
2389,RegionB,AITraining,9.913525230064365e-05,59.0
2390,RegionB,AITraining,0.0001164770367814621,0.0
2391,RegionB,AITraining,0.00011182726023390791,54.0
2392,RegionB,AITraining,0.0001336415226784517,0.0
2393,RegionB,AITraining,0.00011854255403774135,0.0
2394,RegionB,AITraining,0.00015837425956897897,0.0
2395,RegionB,AITraining,0.00011957871696585437,110.0
2396,RegionB,AITraining,0.0001377450140793566,51.0
2397,RegionB,AITraining,0.00015010571479754265,0.0
2398,RegionB,AITraining,0.0001392966534069053,44.0
2399,RegionB,AITraining,9.822228540724316e-05,0.0
2376,RegionC,RealTimeInference,6.684422039179342,7.0
2377,RegionC,RealTimeInference,6.389104324015354,4.0
2378,RegionC,RealTimeInference,6.040006954499287,0.0
2379,RegionC,RealTimeInference,6.426441410427445,0.0
2380,RegionC,RealTimeInference,6.881402844394796,12.0
2381,RegionC,RealTimeInference,7.20774749470117,12.0
2382,RegionC,RealTimeInference,6.841827610138127,13.0
2383,RegionC,RealTimeInference,6.261386889378776,2.0
2384,RegionC,RealTimeInference,6.744656895230127,6.0
2385,RegionC,RealTimeInference,7.198980046676005,5.0
2386,RegionC,RealTimeInference,7.3898329958831175,5.0
2387,RegionC,RealTimeInference,7.05750356390428,25.0
2388,RegionC,RealTimeInference,7.728795863149192,0.0
2389,RegionC,RealTimeInference,6.971601790066714,7.0
2390,RegionC,RealTimeInference,7.651610620899078,7.0
2391,RegionC,RealTimeInference,7.024790522721833,8.0
2392,RegionC,RealTimeInference,7.316757266920974,2.0
2393,RegionC,RealTimeInference,7.033464499183487,4.0
2394,RegionC,RealTimeInference,6.910486813756912,0.0
2395,RegionC,RealTimeInference,6.674872270233037,5.0
2396,RegionC,RealTimeInference,6.784157571069183,7.0
2397,RegionC,RealTimeInference,6.902551626727797,0.0
2398,RegionC,RealTimeInference,6.4738640875013385,12.0
2399,RegionC,RealTimeInference,7.097529923042866,13.0
2376,RegionC,BatchInference,10.814116417761856,0.0
2377,RegionC,BatchInference,10.921208450213062,0.0
2378,RegionC,BatchInference,10.52163584092523,21.0
2379,RegionC,BatchInference,10.860579206811899,28.0
2380,RegionC,BatchInference,10.707694919935735,22.0
2381,RegionC,BatchInference,10.644881215295758,37.0
2382,RegionC,BatchInference,10.252687011787161,19.0
2383,RegionC,BatchInference,11.06899624977161,0.0
2384,RegionC,BatchInference,10.716770559631824,17.0
2385,RegionC,BatchInference,10.580126599840085,35.0
2386,RegionC,BatchInference,11.498296992803887,14.0
2387,RegionC,BatchInference,11.301173703796234,0.0
2388,RegionC,BatchInference,11.176785281114372,18.0
2389,RegionC,BatchInference,11.05092093219524,6.0
2390,RegionC,BatchInference,11.71919889924456,0.0
2391,RegionC,BatchInference,11.173926931278912,0.0
2392,RegionC,BatchInference,11.589814160559287,14.0
2393,RegionC,BatchInference,12.202422808772592,18.0
2394,RegionC,BatchInference,11.356830311175356,0.0
2395,RegionC,BatchInference,11.514187780378878,8.0
2396,RegionC,BatchInference,11.445469133575052,25.0
2397,RegionC,BatchInference,11.397496456019182,16.0
2398,RegionC,BatchInference,11.251758300576215,0.0
2399,RegionC,BatchInference,10.83968918221477,11.0
2376,RegionC,AITraining,0.0003468170165498568,0.0
2377,RegionC,AITraining,0.00032611664815575703,110.0
2378,RegionC,AITraining,0.0002929548577550325,17.0
2379,RegionC,AITraining,0.0002935662144470494,0.0
2380,RegionC,AITraining,0.00025445173778286263,0.0
2381,RegionC,AITraining,0.00026298263143582565,68.0
2382,RegionC,AITraining,0.000250011269042787,67.0
2383,RegionC,AITraining,0.00025419039907230065,0.0
2384,RegionC,AITraining,0.0002501838320180015,0.0
2385,RegionC,AITraining,0.00025656832189718175,0.0
2386,RegionC,AITraining,0.0002938313453419719,0.0
2387,RegionC,AITraining,0.00031181120359459566,91.0
2388,RegionC,AITraining,0.0003004978932094189,0.0
2389,RegionC,AITraining,0.0003593355547578279,0.0
2390,RegionC,AITraining,0.0003633283452822019,0.0
2391,RegionC,AITraining,0.000379273997009373,0.0
2392,RegionC,AITraining,0.0004069560449547531,18.0
2393,RegionC,AITraining,0.0004137389658856218,0.0
2394,RegionC,AITraining,0.00042178470249261467,0.0
2395,RegionC,AITraining,0.0003995998828916961,0.0
2396,RegionC,AITraining,0.00040521812819942194,0.0
2397,RegionC,AITraining,0.00038437322182042566,0.0
2398,RegionC,AITraining,0.0003801062332516594,16.0
2399,RegionC,AITraining,0.0003542683431527893,37.0
2376,RegionD,RealTimeInference,0.0,0.0
2377,RegionD,RealTimeInference,0.0,0.0
2378,RegionD,RealTimeInference,0.0,0.0
2379,RegionD,RealTimeInference,0.0,6.0
2380,RegionD,RealTimeInference,0.0,0.0
2381,RegionD,RealTimeInference,3.93583031329405e-09,0.0
2382,RegionD,RealTimeInference,0.0,7.0
2383,RegionD,RealTimeInference,0.0,0.0
2384,RegionD,RealTimeInference,9.231789218429771e-09,0.0
2385,RegionD,RealTimeInference,0.0,0.0
2386,RegionD,RealTimeInference,0.0,4.0
2387,RegionD,RealTimeInference,0.0,0.0
2388,RegionD,RealTimeInference,6.930624836106408e-09,0.0
2389,RegionD,RealTimeInference,0.0,0.0
2390,RegionD,RealTimeInference,0.0,0.0
2391,RegionD,RealTimeInference,0.0,2.0
2392,RegionD,RealTimeInference,0.0,0.0
2393,RegionD,RealTimeInference,0.0,0.0
2394,RegionD,RealTimeInference,0.0,0.0
2395,RegionD,RealTimeInference,0.0,3.0
2396,RegionD,RealTimeInference,0.0,0.0
2397,RegionD,RealTimeInference,0.0,0.0
2398,RegionD,RealTimeInference,0.0,8.0
2399,RegionD,RealTimeInference,0.0,0.0
2376,RegionD,BatchInference,15.934304786294426,10.0
2377,RegionD,BatchInference,14.971280600056385,0.0
2378,RegionD,BatchInference,15.592625177941873,23.0
2379,RegionD,BatchInference,15.005509288458327,14.0
2380,RegionD,BatchInference,14.89616615002011,22.0
2381,RegionD,BatchInference,15.078758403215037,0.0
2382,RegionD,BatchInference,15.35263354801259,19.0
2383,RegionD,BatchInference,15.256036947573339,17.0
2384,RegionD,BatchInference,15.690213412594797,6.0
2385,RegionD,BatchInference,15.966176404614803,34.0
2386,RegionD,BatchInference,16.010750258127317,60.0
2387,RegionD,BatchInference,15.726138931941005,15.0
2388,RegionD,BatchInference,16.608089565086768,33.0
2389,RegionD,BatchInference,15.87963867888323,0.0
2390,RegionD,BatchInference,17.334641108736417,54.0
2391,RegionD,BatchInference,17.274885749661216,0.0
2392,RegionD,BatchInference,17.493937781660197,29.0
2393,RegionD,BatchInference,17.408819803831474,21.0
2394,RegionD,BatchInference,17.333748970744278,41.0
2395,RegionD,BatchInference,16.904276251658647,42.0
2396,RegionD,BatchInference,17.03732680009697,59.0
2397,RegionD,BatchInference,16.87910053960364,27.0
2398,RegionD,BatchInference,16.563201873294354,11.0
2399,RegionD,BatchInference,16.34779289318277,0.0
2376,RegionD,AITraining,147.44663320800382,119.0
2377,RegionD,AITraining,157.5058969907791,209.0
2378,RegionD,AITraining,164.3199254518803,147.0
2379,RegionD,AITraining,159.30077562781432,374.0
2380,RegionD,AITraining,169.47242524082782,83.0
2381,RegionD,AITraining,154.62914795305403,178.0
2382,RegionD,AITraining,160.58388502663198,91.0
2383,RegionD,AITraining,160.41752710114758,112.0
2384,RegionD,AITraining,157.73565514746554,68.0
2385,RegionD,AITraining,158.61424703552717,64.0
2386,RegionD,AITraining,153.02279016351378,116.0
2387,RegionD,AITraining,154.9188409402835,126.0
2388,RegionD,AITraining,151.90174518376716,59.0
2389,RegionD,AITraining,147.42177801023135,276.0
2390,RegionD,AITraining,162.50376243511977,299.0
2391,RegionD,AITraining,157.60840150088373,142.0
2392,RegionD,AITraining,151.43911042376683,221.0
2393,RegionD,AITraining,151.32071627316265,22.0
2394,RegionD,AITraining,146.91557470705584,214.0
2395,RegionD,AITraining,159.82435625321446,112.0
2396,RegionD,AITraining,155.75356958095114,176.0
2397,RegionD,AITraining,156.11148603534403,37.0
2398,RegionD,AITraining,146.25691999632417,381.0
2399,RegionD,AITraining,167.3254852811739,0.0
2376,RegionE,RealTimeInference,4.640374531181033e-08,0.0
2377,RegionE,RealTimeInference,3.834371309816599e-08,5.0
2378,RegionE,RealTimeInference,3.4651363196595504e-08,2.0
2379,RegionE,RealTimeInference,4.598168624450534e-08,0.0
2380,RegionE,RealTimeInference,2.5302747125952734e-08,0.0
2381,RegionE,RealTimeInference,1.7983820397710235e-08,0.0
2382,RegionE,RealTimeInference,0.0,6.0
2383,RegionE,RealTimeInference,0.0,0.0
2384,RegionE,RealTimeInference,2.0599642152501202e-09,4.0
2385,RegionE,RealTimeInference,0.0,0.0
2386,RegionE,RealTimeInference,0.0,0.0
2387,RegionE,RealTimeInference,0.0,0.0
2388,RegionE,RealTimeInference,0.0,0.0
2389,RegionE,RealTimeInference,0.0,0.0
2390,RegionE,RealTimeInference,0.0,0.0
2391,RegionE,RealTimeInference,1.423838766902966e-08,5.0
2392,RegionE,RealTimeInference,1.3147827774797052e-08,5.0
2393,RegionE,RealTimeInference,3.779452987322472e-08,0.0
2394,RegionE,RealTimeInference,6.23465026772563e-08,0.0
2395,RegionE,RealTimeInference,3.969246514821842e-08,0.0
2396,RegionE,RealTimeInference,3.901153343966505e-08,0.0
2397,RegionE,RealTimeInference,4.783410545849357e-08,0.0
2398,RegionE,RealTimeInference,4.318720846848788e-08,0.0
2399,RegionE,RealTimeInference,4.165101864972672e-08,4.0
2376,RegionE,BatchInference,10.216669240939801,34.0
2377,RegionE,BatchInference,10.317013023744794,55.0
2378,RegionE,BatchInference,10.531815763353283,42.0
2379,RegionE,BatchInference,10.770822956676438,0.0
2380,RegionE,BatchInference,9.963049931298286,20.0
2381,RegionE,BatchInference,10.90736629378805,7.0
2382,RegionE,BatchInference,10.08085521242524,23.0
2383,RegionE,BatchInference,10.52979417840675,14.0
2384,RegionE,BatchInference,10.189092108600482,6.0
2385,RegionE,BatchInference,10.816827216556621,0.0
2386,RegionE,BatchInference,10.567691673734354,17.0
2387,RegionE,BatchInference,10.981542798742913,68.0
2388,RegionE,BatchInference,11.064505526713283,0.0
2389,RegionE,BatchInference,9.993710903263704,22.0
2390,RegionE,BatchInference,10.673523456851644,16.0
2391,RegionE,BatchInference,9.984042513470843,14.0
2392,RegionE,BatchInference,10.122684813597434,9.0
2393,RegionE,BatchInference,9.857743283589546,0.0
2394,RegionE,BatchInference,9.346416182697062,17.0
2395,RegionE,BatchInference,10.14732613323004,0.0
2396,RegionE,BatchInference,9.477165091180272,16.0
2397,RegionE,BatchInference,10.072460116744024,39.0
2398,RegionE,BatchInference,10.143416535438615,30.0
2399,RegionE,BatchInference,9.698805336408647,13.0
2376,RegionE,AITraining,117.7171681752904,111.0
2377,RegionE,AITraining,127.23743609366655,321.0
2378,RegionE,AITraining,148.19935417421084,335.0
2379,RegionE,AITraining,136.18280484921058,70.0
2380,RegionE,AITraining,118.50876521224515,73.0
2381,RegionE,AITraining,123.05789522644585,161.0
2382,RegionE,AITraining,119.56433178767973,0.0
2383,RegionE,AITraining,118.15051960910111,286.0
2384,RegionE,AITraining,120.53311888843648,153.0
2385,RegionE,AITraining,115.1642936053155,144.0
2386,RegionE,AITraining,109.51787925293031,101.0
2387,RegionE,AITraining,114.30292779846182,368.0
2388,RegionE,AITraining,118.94968319996113,0.0
2389,RegionE,AITraining,101.93065500031129,128.0
2390,RegionE,AITraining,113.9021973302944,517.0
2391,RegionE,AITraining,134.24286322624096,297.0
2392,RegionE,AITraining,100.21784551781309,104.0
2393,RegionE,AITraining,90.82101047359676,0.0
2394,RegionE,AITraining,101.92274893113574,261.0
2395,RegionE,AITraining,116.82709345080283,269.0
2396,RegionE,AITraining,113.16254872425519,105.0
2397,RegionE,AITraining,105.76397681620301,109.0
2398,RegionE,AITraining,98.22699064274958,161.0
2399,RegionE,AITraining,107.64611432193203,115.0
2376,RegionF,RealTimeInference,1.790499095779153e-08,0.0
2377,RegionF,RealTimeInference,2.363531304067904e-08,2.0
2378,RegionF,RealTimeInference,1.9635073810824704e-08,0.0
2379,RegionF,RealTimeInference,2.4046038451527203e-08,0.0
2380,RegionF,RealTimeInference,2.936676828026292e-08,0.0
2381,RegionF,RealTimeInference,2.1036149700089233e-08,0.0
2382,RegionF,RealTimeInference,1.7957041140392614e-08,1.0
2383,RegionF,RealTimeInference,1.0176383490402913e-08,0.0
2384,RegionF,RealTimeInference,9.949156263782397e-09,0.0
2385,RegionF,RealTimeInference,2.8219401234496103e-08,7.0
2386,RegionF,RealTimeInference,0.0,0.0
2387,RegionF,RealTimeInference,0.0,0.0
2388,RegionF,RealTimeInference,1.714124644916709e-08,0.0
2389,RegionF,RealTimeInference,2.9341732952319612e-08,0.0
2390,RegionF,RealTimeInference,0.0,0.0
2391,RegionF,RealTimeInference,0.0,0.0
2392,RegionF,RealTimeInference,1.325133102749785e-08,1.0
2393,RegionF,RealTimeInference,0.0,0.0
2394,RegionF,RealTimeInference,0.0,0.0
2395,RegionF,RealTimeInference,2.993068592179918e-08,0.0
2396,RegionF,RealTimeInference,2.9461399680419194e-08,0.0
2397,RegionF,RealTimeInference,1.1722818004415758e-08,0.0
2398,RegionF,RealTimeInference,4.358435676282389e-08,3.0
2399,RegionF,RealTimeInference,3.748088944474927e-08,1.0
2376,RegionF,BatchInference,9.61048476061407,17.0
2377,RegionF,BatchInference,6.950660637655336,0.0
2378,RegionF,BatchInference,8.904088672869142,9.0
2379,RegionF,BatchInference,9.085842253007225,9.0
2380,RegionF,BatchInference,8.760558105619015,16.0
2381,RegionF,BatchInference,8.48807300736604,0.0
2382,RegionF,BatchInference,7.9034797885978705,0.0
2383,RegionF,BatchInference,7.381768083833961,0.0
2384,RegionF,BatchInference,9.286764446546867,0.0
2385,RegionF,BatchInference,9.31786713325904,0.0
2386,RegionF,BatchInference,9.33627343419345,12.0
2387,RegionF,BatchInference,10.102106883337315,0.0
2388,RegionF,BatchInference,10.30625244763759,0.0
2389,RegionF,BatchInference,10.510215077709878,7.0
2390,RegionF,BatchInference,10.142262118011354,15.0
2391,RegionF,BatchInference,9.46742397547168,21.0
2392,RegionF,BatchInference,9.76963995948254,0.0
2393,RegionF,BatchInference,10.022415002675887,23.0
2394,RegionF,BatchInference,9.690966314905333,17.0
2395,RegionF,BatchInference,9.513795739039999,0.0
2396,RegionF,BatchInference,10.360849616099765,14.0
2397,RegionF,BatchInference,9.699919594269018,39.0
2398,RegionF,BatchInference,8.74390701258817,36.0
2399,RegionF,BatchInference,7.9231761646321885,0.0
2376,RegionF,AITraining,116.8541115725498,124.0
2377,RegionF,AITraining,113.9894227332595,321.0
2378,RegionF,AITraining,107.3668756418968,296.0
2379,RegionF,AITraining,110.67667034237078,102.0
2380,RegionF,AITraining,119.16004367811982,329.0
2381,RegionF,AITraining,103.88129653816449,191.0
2382,RegionF,AITraining,111.29047179055044,180.0
2383,RegionF,AITraining,113.44465086211443,159.0
2384,RegionF,AITraining,112.7669432539617,179.0
2385,RegionF,AITraining,108.43693534079037,393.0
2386,RegionF,AITraining,99.38499761131764,114.0
2387,RegionF,AITraining,109.29616947557076,226.0
2388,RegionF,AITraining,100.47336681941955,345.0
2389,RegionF,AITraining,98.07654337358558,41.0
2390,RegionF,AITraining,108.58465713389349,87.0
2391,RegionF,AITraining,105.74237483781744,58.0
2392,RegionF,AITraining,105.84591142952972,250.0
2393,RegionF,AITraining,103.3825287875263,223.0
2394,RegionF,AITraining,102.47048140638204,339.0
2395,RegionF,AITraining,97.56782302458646,149.0
2396,RegionF,AITraining,104.99391636820413,121.0
2397,RegionF,AITraining,106.99527076331073,76.0
2398,RegionF,AITraining,109.60642030056154,122.0
2399,RegionF,AITraining,108.1823248556083,271.0
