Hour,Region,TaskType,Actual_GPU,Predicted_GPU
2382,RegionB,AITraining,0.0,8.390029115901143e-07
2383,RegionB,AITraining,0.0,8.598525802483437e-07
2384,RegionB,AITraining,78.0,4.921025826831738e-07
2385,RegionB,AITraining,0.0,3.732731563843572e-07
2386,RegionB,AITraining,113.0,1.1651323426065119e-06
2387,RegionB,AITraining,0.0,1.3107156888736426e-06
2388,RegionB,AITraining,0.0,1.1283527676653193e-06
2389,RegionB,AITraining,59.0,1.15812282075467e-06
2390,RegionB,AITraining,0.0,9.56311723143699e-07
2391,RegionB,AITraining,54.0,9.277866581669514e-07
2392,RegionB,AITraining,0.0,9.751305967142798e-07
2393,RegionB,AITraining,0.0,8.993545250746138e-07
2394,RegionB,AITraining,0.0,2.351221368712686e-07
2395,RegionB,AITraining,110.0,3.9886324643134685e-07
2396,RegionB,AITraining,51.0,3.2807430372372437e-07
2397,RegionB,AITraining,0.0,0.0
2398,RegionB,AITraining,44.0,0.0
2399,RegionB,AITraining,0.0,7.929014245178223e-07
2376,RegionC,RealTimeInference,7.0,12.0
2377,RegionC,RealTimeInference,4.0,12.0
2378,RegionC,RealTimeInference,0.0,9.0
2379,RegionC,RealTimeInference,0.0,6.0
2380,RegionC,RealTimeInference,12.0,7.0
2381,RegionC,RealTimeInference,12.0,5.0
2382,RegionC,RealTimeInference,13.0,10.0
2383,RegionC,RealTimeInference,2.0,0.0
2384,RegionC,RealTimeInference,6.0,21.0
2385,RegionC,RealTimeInference,5.0,7.0
2386,RegionC,RealTimeInference,5.0,7.0
2387,RegionC,RealTimeInference,25.0,1.0
2388,RegionC,RealTimeInference,0.0,6.0
2389,RegionC,RealTimeInference,7.0,6.0
2390,RegionC,RealTimeInference,7.0,9.0
2391,RegionC,RealTimeInference,8.0,4.0
2392,RegionC,RealTimeInference,2.0,7.0
2393,RegionC,RealTimeInference,4.0,11.0
2394,RegionC,RealTimeInference,0.0,13.0
2395,RegionC,RealTimeInference,5.0,7.0
2396,RegionC,RealTimeInference,7.0,6.0
2397,RegionC,RealTimeInference,0.0,9.0
2398,RegionC,RealTimeInference,12.0,22.0
2399,RegionC,RealTimeInference,13.0,7.0
2376,RegionC,BatchInference,0.0,13.859994006158614
2377,RegionC,BatchInference,0.0,13.852805573004543
2378,RegionC,BatchInference,21.0,13.727823531327704
2379,RegionC,BatchInference,28.0,14.14122685561634
2380,RegionC,BatchInference,22.0,13.902344941318633
2381,RegionC,BatchInference,37.0,13.83099400478461
2382,RegionC,BatchInference,19.0,13.755070445334711
2383,RegionC,BatchInference,0.0,14.307480176776172
2384,RegionC,BatchInference,17.0,14.104540260459896
2385,RegionC,BatchInference,35.0,13.925507655012156
2386,RegionC,BatchInference,14.0,14.661432098856745
2387,RegionC,BatchInference,0.0,14.112972063656263
2388,RegionC,BatchInference,18.0,14.498586815206462
2389,RegionC,BatchInference,6.0,14.205263623221736
2390,RegionC,BatchInference,0.0,14.467818579728675
2391,RegionC,BatchInference,0.0,14.071207029812763
2392,RegionC,BatchInference,14.0,14.504755328639487
2393,RegionC,BatchInference,18.0,14.846822785017267
2394,RegionC,BatchInference,0.0,13.819103163802895
2395,RegionC,BatchInference,8.0,13.977314290837974
2396,RegionC,BatchInference,25.0,14.18094884475439
2397,RegionC,BatchInference,16.0,13.897394813755263
2398,RegionC,BatchInference,0.0,13.565914251740187
2399,RegionC,BatchInference,11.0,13.263250306757072
2376,RegionC,AITraining,0.0,0.0
2377,RegionC,AITraining,110.0,0.0
2378,RegionC,AITraining,17.0,0.0
2379,RegionC,AITraining,0.0,0.0
2380,RegionC,AITraining,0.0,0.0
2381,RegionC,AITraining,68.0,0.0
2382,RegionC,AITraining,67.0,0.0
2383,RegionC,AITraining,0.0,0.0
2384,RegionC,AITraining,0.0,0.0
2385,RegionC,AITraining,0.0,0.0
2386,RegionC,AITraining,0.0,0.0
2387,RegionC,AITraining,91.0,0.0
2388,RegionC,AITraining,0.0,0.0
2389,RegionC,AITraining,0.0,0.0
2390,RegionC,AITraining,0.0,0.0
2391,RegionC,AITraining,0.0,0.0
2392,RegionC,AITraining,18.0,0.0
2393,RegionC,AITraining,0.0,0.0
2394,RegionC,AITraining,0.0,0.0
2395,RegionC,AITraining,0.0,9.969608427695675e-08
2396,RegionC,AITraining,0.0,0.0
2397,RegionC,AITraining,0.0,4.188819602291005e-08
2398,RegionC,AITraining,16.0,0.0
2399,RegionC,AITraining,37.0,0.0
2376,RegionD,RealTimeInference,0.0,2.0200241479528813e-10
2377,RegionD,RealTimeInference,0.0,0.0
2378,RegionD,RealTimeInference,0.0,6.865570334468885e-10
2379,RegionD,RealTimeInference,6.0,1.3539472876189507e-09
2380,RegionD,RealTimeInference,0.0,2.0464204775194617e-09
2381,RegionD,RealTimeInference,0.0,2.726962322618931e-09
2382,RegionD,RealTimeInference,7.0,9.773877263086206e-10
2383,RegionD,RealTimeInference,0.0,0.0
2384,RegionD,RealTimeInference,0.0,0.0
2385,RegionD,RealTimeInference,0.0,0.0
2386,RegionD,RealTimeInference,4.0,5.078090170584915e-10
2387,RegionD,RealTimeInference,0.0,0.0
2388,RegionD,RealTimeInference,0.0,0.0
2389,RegionD,RealTimeInference,0.0,0.0
2390,RegionD,RealTimeInference,0.0,0.0
2391,RegionD,RealTimeInference,2.0,0.0
2392,RegionD,RealTimeInference,0.0,0.0
2393,RegionD,RealTimeInference,0.0,0.0
2394,RegionD,RealTimeInference,0.0,0.0
2395,RegionD,RealTimeInference,3.0,0.0
2396,RegionD,RealTimeInference,0.0,0.0
2397,RegionD,RealTimeInference,0.0,0.0
2398,RegionD,RealTimeInference,8.0,0.0
2399,RegionD,RealTimeInference,0.0,0.0
2376,RegionD,BatchInference,10.0,17.750900858838236
2377,RegionD,BatchInference,0.0,17.558379096193278
2378,RegionD,BatchInference,23.0,17.77173210160466
2379,RegionD,BatchInference,14.0,17.58111157684037
2380,RegionD,BatchInference,22.0,17.651382157270458
2381,RegionD,BatchInference,0.0,17.64331101599618
2382,RegionD,BatchInference,19.0,17.74736564551579
2383,RegionD,BatchInference,17.0,17.807737428953025
2384,RegionD,BatchInference,6.0,18.132434714893634
2385,RegionD,BatchInference,34.0,18.304317948643085
2386,RegionD,BatchInference,60.0,18.464814500265298
2387,RegionD,BatchInference,15.0,18.77483071355003
2388,RegionD,BatchInference,33.0,19.08626483108867
2389,RegionD,BatchInference,0.0,19.15976959000597
2390,RegionD,BatchInference,54.0,19.650020091610187
2391,RegionD,BatchInference,0.0,19.842671273392234
2392,RegionD,BatchInference,29.0,19.73991803250068
2393,RegionD,BatchInference,21.0,19.909185315000965
2394,RegionD,BatchInference,41.0,19.616245531398864
2395,RegionD,BatchInference,42.0,19.56745390564188
2396,RegionD,BatchInference,59.0,19.360935839364267
2397,RegionD,BatchInference,27.0,19.12372021205761
2398,RegionD,BatchInference,11.0,18.780250737597417
2399,RegionD,BatchInference,0.0,18.51218540000354
2376,RegionD,AITraining,119.0,169.01325898040963
2377,RegionD,AITraining,209.0,178.9830139246637
2378,RegionD,AITraining,147.0,179.33159563932477
2379,RegionD,AITraining,374.0,179.92721460332623
2380,RegionD,AITraining,83.0,175.98303033011973
2381,RegionD,AITraining,178.0,179.02320703385442
2382,RegionD,AITraining,91.0,182.4866856530525
2383,RegionD,AITraining,112.0,176.83550755385897
2384,RegionD,AITraining,68.0,178.45619280357653
2385,RegionD,AITraining,64.0,176.373303321626
2386,RegionD,AITraining,116.0,170.84929004288696
2387,RegionD,AITraining,126.0,164.67228731383167
2388,RegionD,AITraining,59.0,168.3854652775707
2389,RegionD,AITraining,276.0,167.4754088460162
2390,RegionD,AITraining,299.0,168.20054222983705
2391,RegionD,AITraining,142.0,167.9249249835108
2392,RegionD,AITraining,221.0,167.32192243672475
2393,RegionD,AITraining,22.0,165.8308326878826
2394,RegionD,AITraining,214.0,166.2733350651789
2395,RegionD,AITraining,112.0,171.81849895491382
2396,RegionD,AITraining,176.0,172.4232634771823
2397,RegionD,AITraining,37.0,174.26202343809317
2398,RegionD,AITraining,381.0,172.71777671838902
2399,RegionD,AITraining,0.0,172.2640943846481
2376,RegionE,RealTimeInference,0.0,7.62034790824373e-09
2377,RegionE,RealTimeInference,5.0,8.869919243537083e-09
2378,RegionE,RealTimeInference,2.0,9.867379358041717e-09
2379,RegionE,RealTimeInference,0.0,1.0554465745826747e-08
2380,RegionE,RealTimeInference,0.0,1.0893758561891786e-08
2381,RegionE,RealTimeInference,0.0,4.427338939905212e-09
2382,RegionE,RealTimeInference,6.0,9.872530792875978e-09
2383,RegionE,RealTimeInference,0.0,0.0
2384,RegionE,RealTimeInference,4.0,1.0027162877790374e-08
2385,RegionE,RealTimeInference,0.0,0.0
2386,RegionE,RealTimeInference,0.0,9.378524401526533e-09
2387,RegionE,RealTimeInference,0.0,3.64451779866215e-09
2388,RegionE,RealTimeInference,0.0,0.0
2389,RegionE,RealTimeInference,0.0,1.164254248564589e-09
2390,RegionE,RealTimeInference,0.0,3.9082981295734953e-10
2391,RegionE,RealTimeInference,5.0,1.5838424127778694e-08
2392,RegionE,RealTimeInference,5.0,0.0
2393,RegionE,RealTimeInference,0.0,0.0
2394,RegionE,RealTimeInference,0.0,6.780124239824659e-09
2395,RegionE,RealTimeInference,0.0,9.280574087000559e-10
2396,RegionE,RealTimeInference,0.0,2.0353960739072363e-09
2397,RegionE,RealTimeInference,0.0,7.868922402565204e-09
2398,RegionE,RealTimeInference,0.0,4.772108042061518e-09
2399,RegionE,RealTimeInference,4.0,6.147716780091628e-09
2376,RegionE,BatchInference,34.0,12.402615794275926
2377,RegionE,BatchInference,55.0,12.150719591706086
2378,RegionE,BatchInference,42.0,12.011496711136301
2379,RegionE,BatchInference,0.0,12.183974221940774
2380,RegionE,BatchInference,20.0,11.901376991241886
2381,RegionE,BatchInference,7.0,12.495080548468318
2382,RegionE,BatchInference,23.0,12.753723650569539
2383,RegionE,BatchInference,14.0,12.47844582534472
2384,RegionE,BatchInference,6.0,13.159422032458497
2385,RegionE,BatchInference,0.0,13.285995131336112
2386,RegionE,BatchInference,17.0,13.086382026085127
2387,RegionE,BatchInference,68.0,13.245356276555668
2388,RegionE,BatchInference,0.0,13.626801627295503
2389,RegionE,BatchInference,22.0,13.208555243351258
2390,RegionE,BatchInference,16.0,13.10882997548436
2391,RegionE,BatchInference,14.0,13.002748125641947
2392,RegionE,BatchInference,9.0,12.840218028066866
2393,RegionE,BatchInference,0.0,13.004916719551048
2394,RegionE,BatchInference,17.0,12.429368264879363
2395,RegionE,BatchInference,0.0,12.083309250858397
2396,RegionE,BatchInference,16.0,11.76268997444713
2397,RegionE,BatchInference,39.0,11.867384026364556
2398,RegionE,BatchInference,30.0,12.084331186788777
2399,RegionE,BatchInference,13.0,11.784737109632236
2376,RegionE,AITraining,111.0,121.0
2377,RegionE,AITraining,321.0,199.0
2378,RegionE,AITraining,335.0,470.0
2379,RegionE,AITraining,70.0,242.0
2380,RegionE,AITraining,73.0,286.0
2381,RegionE,AITraining,161.0,246.0
2382,RegionE,AITraining,0.0,29.0
2383,RegionE,AITraining,286.0,170.0
2384,RegionE,AITraining,153.0,0.0
2385,RegionE,AITraining,144.0,245.0
2386,RegionE,AITraining,101.0,59.0
2387,RegionE,AITraining,368.0,112.0
2388,RegionE,AITraining,0.0,146.0
2389,RegionE,AITraining,128.0,94.0
2390,RegionE,AITraining,517.0,147.0
2391,RegionE,AITraining,297.0,100.0
2392,RegionE,AITraining,104.0,96.0
2393,RegionE,AITraining,0.0,0.0
2394,RegionE,AITraining,261.0,77.0
2395,RegionE,AITraining,269.0,182.0
2396,RegionE,AITraining,105.0,0.0
2397,RegionE,AITraining,109.0,102.0
2398,RegionE,AITraining,161.0,79.0
2399,RegionE,AITraining,115.0,0.0
2376,RegionF,RealTimeInference,0.0,0.0
2377,RegionF,RealTimeInference,2.0,0.0
2378,RegionF,RealTimeInference,0.0,0.0
2379,RegionF,RealTimeInference,0.0,0.0
2380,RegionF,RealTimeInference,0.0,0.0
2381,RegionF,RealTimeInference,0.0,0.0
2382,RegionF,RealTimeInference,1.0,0.0
2383,RegionF,RealTimeInference,0.0,0.0
2384,RegionF,RealTimeInference,0.0,0.0
2385,RegionF,RealTimeInference,7.0,7.0
2386,RegionF,RealTimeInference,0.0,6.0
2387,RegionF,RealTimeInference,0.0,0.0
2388,RegionF,RealTimeInference,0.0,0.0
2389,RegionF,RealTimeInference,0.0,1.0
2390,RegionF,RealTimeInference,0.0,0.0
2391,RegionF,RealTimeInference,0.0,0.0
2392,RegionF,RealTimeInference,1.0,0.0
2393,RegionF,RealTimeInference,0.0,0.0
2394,RegionF,RealTimeInference,0.0,0.0
2395,RegionF,RealTimeInference,0.0,0.0
2396,RegionF,RealTimeInference,0.0,8.0
2397,RegionF,RealTimeInference,0.0,0.0
2398,RegionF,RealTimeInference,3.0,0.0
2399,RegionF,RealTimeInference,1.0,1.0
2376,RegionF,BatchInference,17.0,10.12997918424681
2377,RegionF,BatchInference,0.0,8.681066858896122
2378,RegionF,BatchInference,9.0,9.336498280244479
2379,RegionF,BatchInference,9.0,9.682021438710079
2380,RegionF,BatchInference,16.0,9.32541267461445
2381,RegionF,BatchInference,0.0,9.314178946313326
2382,RegionF,BatchInference,0.0,9.05696860950801
2383,RegionF,BatchInference,0.0,9.360404909571965
2384,RegionF,BatchInference,0.0,10.604780057998285
2385,RegionF,BatchInference,0.0,10.473538089576044
2386,RegionF,BatchInference,12.0,10.999889605991337
2387,RegionF,BatchInference,0.0,11.533620060411305
2388,RegionF,BatchInference,0.0,11.436798881010628
2389,RegionF,BatchInference,7.0,12.073435152409608
2390,RegionF,BatchInference,15.0,12.041437592427974
2391,RegionF,BatchInference,21.0,11.841066533741623
2392,RegionF,BatchInference,0.0,12.038539476832192
2393,RegionF,BatchInference,23.0,11.833748676978825
2394,RegionF,BatchInference,17.0,11.763763061762663
2395,RegionF,BatchInference,0.0,11.374843325856327
2396,RegionF,BatchInference,14.0,11.151958126121935
2397,RegionF,BatchInference,39.0,10.943220027884387
2398,RegionF,BatchInference,36.0,10.511275977605765
2399,RegionF,BatchInference,0.0,9.902073529479006
2376,RegionF,AITraining,124.0,132.67120188471506
2377,RegionF,AITraining,321.0,128.56787139995362
2378,RegionF,AITraining,296.0,128.28236501914697
2379,RegionF,AITraining,102.0,131.25187048240574
2380,RegionF,AITraining,329.0,131.24152885411576
2381,RegionF,AITraining,191.0,127.43542732338354
2382,RegionF,AITraining,180.0,127.31064496612836
2383,RegionF,AITraining,159.0,126.07404422829107
2384,RegionF,AITraining,179.0,124.93090760005681
2385,RegionF,AITraining,393.0,125.68986765360164
2386,RegionF,AITraining,114.0,121.50256033511708
2387,RegionF,AITraining,226.0,122.55893549917855
2388,RegionF,AITraining,345.0,120.53472228320305
2389,RegionF,AITraining,41.0,118.57439672294439
2390,RegionF,AITraining,87.0,117.00359439176972
2391,RegionF,AITraining,58.0,117.8162703056179
2392,RegionF,AITraining,250.0,117.28713426364703
2393,RegionF,AITraining,223.0,119.2155989088029
2394,RegionF,AITraining,339.0,119.03655715567383
2395,RegionF,AITraining,149.0,118.07465949442158
2396,RegionF,AITraining,121.0,120.83230834811339
2397,RegionF,AITraining,76.0,123.3384039281319
2398,RegionF,AITraining,122.0,121.36961025016004
2399,RegionF,AITraining,271.0,126.23873365280613
