Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AITrainingPower_MW,GPU_Utilization_Percent,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,Curtailment_MW,IT_Load_MW,Total_Load_MW,GridPurchase_MW,GridCharge_MW,GridSell_MW,NetGridImport_MW,CarbonEmission_tCO2,DemandResponseLevel,SOC_MWh,ChargePower_MW,DischargePower_MW,Baseline_AI_IT_Load_MW,NonAI_IT_Load_MW,DataPeriod,FacilityLoad_MW,RenewableUse_MW,Charge_MW,Discharge_MW,Price,SellPrice,CarbonIntensity,GridExportLimit_MW
32,RegionA,Flat,732.16,0.0,0.6245,36.2506666667,42.89418,1059.81,65.3184,0.0,515.4899995500449,403.2,544.32,0.0,0.0,0.0,479.0016,299.1365,Medium,157.5,0.0,0.0,39.9373333333,363.262667,Main_0_2399,544.320000449955,544.320000449955,0.0,0.0,732.16,0.0,0.6245,515.4899995500449
33,RegionA,Flat,732.37,0.0,0.6128,23.248,36.949735,1089.78,69.5448,0.0,545.4599999999999,403.2,544.32,0.0,0.0,0.0,474.7752,290.9422,Medium,157.5,0.0,0.0,31.461,371.739,Main_0_2399,544.32,544.32,0.0,0.0,732.37,0.0,0.6128,545.4599999999999
34,RegionA,Flat,732.56,0.0,0.6027,23.56,41.92328,1100.0,72.3077,0.0,564.387500449955,396.75,535.6125,0.0,0.0,0.0,463.3048,279.2338,Medium,157.5,0.0,0.0,34.4266666667,362.323333,Main_0_2399,535.612499550045,535.612499550045,0.0,0.0,732.56,0.0,0.6027,564.387500449955
35,RegionA,Flat,732.74,0.0,0.595,8.16,24.632275,1089.78,72.9266,0.0,573.350999550045,382.54,516.429,0.0,0.0,0.0,443.5024,263.8839,Medium,157.5,0.0,0.0,17.9113333333,364.628667,Main_0_2399,516.429000449955,516.429000449955,0.0,0.0,732.74,0.0,0.595,573.350999550045
36,RegionA,Flat,732.9,0.0,0.5902,19.04,35.388889,1059.81,67.7639,0.0,595.6125,343.85,464.1975,0.0,0.0,0.0,396.4336,233.9751,Medium,157.5,0.0,0.0,28.866,314.984,Main_0_2399,464.1975,464.1975,0.0,0.0,732.9,0.0,0.5902,595.6125
37,RegionA,Flat,733.05,0.0,0.5887,28.0,44.57672,1012.13,65.4163,0.0,573.028999550045,325.26,439.101,0.0,0.0,0.0,373.6847,219.9882,Low,157.5,0.0,0.0,38.0463333333,287.213667,Main_0_2399,439.10100044995505,439.10100044995505,0.0,0.0,733.05,0.0,0.5887,573.028999550045
38,RegionA,Flat,733.18,0.0,0.5905,28.0,39.582011,950.0,63.3631,0.0,527.5796,312.904,422.4204,0.0,0.0,0.0,359.0573,212.0234,Low,157.5,0.0,0.0,35.0,277.904,Main_0_2399,422.42040000000003,422.42040000000003,0.0,0.0,733.18,0.0,0.5905,527.5796
39,RegionA,Flat,733.3,0.0,0.5955,21.5786666667,35.462963,877.65,59.7596,0.0,476.519099550045,297.134,401.1309,0.0,0.0,0.0,341.3713,203.2866,Low,157.5,0.0,0.0,29.7793333333,267.354667,Main_0_2399,401.130900449955,401.130900449955,0.0,0.0,733.3,0.0,0.5955,476.519099550045
40,RegionA,Flat,733.4,0.0,0.6035,6.8453333333,23.814815,800.0,54.7728,0.0,424.794500449955,277.93,375.2055,0.0,0.0,0.0,320.4327,193.3811,Low,157.5,0.0,0.0,16.8766666667,261.053333,Main_0_2399,375.205499550045,375.205499550045,0.0,0.0,733.4,0.0,0.6035,424.794500449955
41,RegionA,Peak,1063.56,0.0,0.6138,0.0,19.695767,722.35,46.4451,0.0,393.449499550045,243.63,328.9005,0.0,0.0,0.0,237.4554,145.7501,Medium,157.5,0.0,45.0,11.5733333333,232.056667,Main_0_2399,328.900500449955,328.900500449955,0.0,0.0,1063.56,0.0,0.6138,393.449499550045
42,RegionA,Peak,1063.67,0.0,0.6258,0.0,24.780423,650.0,39.1491,0.0,360.00649955004496,214.81,289.9935,0.0,0.0,0.0,205.8444,128.8174,Medium,157.5,0.0,45.0,14.3893333333,200.420667,Main_0_2399,289.99350044995504,289.99350044995504,0.0,0.0,1063.67,0.0,0.6258,360.00649955004496
43,RegionA,Peak,1063.75,0.0,0.6386,0.0,30.716931,587.87,37.9875,0.0,290.546,220.24,297.324,0.0,0.0,0.0,214.3365,136.8753,Medium,157.5,0.0,45.0,18.451,201.789,Main_0_2399,297.324,297.324,0.0,0.0,1063.75,0.0,0.6386,290.546
44,RegionA,Peak,1063.82,0.0,0.6514,17.76,38.952381,540.19,41.5611,0.0,193.84750000000003,256.55,346.3425,0.0,0.0,0.0,259.7814,169.2216,Medium,157.5,0.0,45.0,30.542,226.008,Main_0_2399,346.34250000000003,346.34250000000003,0.0,0.0,1063.82,0.0,0.6514,193.84750000000003
45,RegionA,Peak,1063.86,0.0,0.6633,17.76,35.362434,510.22,39.3417,0.0,182.372499550045,242.85,327.8475,0.0,0.0,0.0,243.5058,161.5174,Medium,157.5,0.0,45.0,28.4393333333,214.410667,Main_0_2399,327.847500449955,327.847500449955,0.0,0.0,1063.86,0.0,0.6633,182.372499550045
46,RegionA,Flat,660.34,0.0,0.6735,26.24,44.18254,500.0,50.0305,53.9963,83.07950044995493,308.83,416.9205,0.0,0.0,0.0,366.89,247.1004,Low,157.5,53.9963,0.0,37.2476666667,271.582333,Main_0_2399,416.92049955004507,416.92049955004507,0.0,0.0,660.34,0.0,0.6735,83.07950044995493
47,RegionA,Flat,660.33,0.0,0.6812,37.28,49.412698,510.22,53.1295,54.8509,67.47399999999993,327.96,442.746,0.0,0.0,0.0,389.6165,265.4067,Low,157.5,54.8509,0.0,44.504,283.456,Main_0_2399,442.7460000000001,442.7460000000001,0.0,0.0,660.33,0.0,0.6812,67.47399999999993
48,RegionA,Valley,476.9,0.0,0.686,42.368,54.989418,540.19,56.6449,55.0,68.14899955004506,349.66,472.041,0.0,18.0,0.0,433.3961,297.3097,Medium,157.5,73.0,0.0,50.0063333333,299.653667,Main_0_2399,472.041000449955,472.041000449955,0.0,0.0,476.9,0.0,0.686,68.14899955004506
49,RegionA,Valley,476.88,0.0,0.6876,33.3226666667,43.412698,587.87,63.6482,55.0,57.46849955004495,392.89,530.4015,0.0,18.0,0.0,484.7533,333.3164,Medium,157.5,73.0,0.0,39.4333333333,353.456667,Main_0_2399,530.401500449955,530.401500449955,0.0,0.0,476.88,0.0,0.6876,57.46849955004495
50,RegionA,Valley,476.85,0.0,0.6857,28.464,40.142857,650.0,65.3184,0.0,105.67999999999995,403.2,544.32,0.0,8.1261,0.0,487.1277,334.0235,Medium,157.5,8.1261,0.0,35.644,367.556,Main_0_2399,544.32,544.32,0.0,0.0,476.85,0.0,0.6857,105.67999999999995
51,RegionA,Valley,476.81,0.0,0.6805,27.84,38.582011,722.35,65.3184,0.0,178.02999999999997,403.2,544.32,0.0,0.0,0.0,479.0016,325.9606,Medium,157.5,0.0,0.0,34.231,368.969,Main_0_2399,544.32,544.32,0.0,0.0,476.81,0.0,0.6805,178.02999999999997
52,RegionA,Valley,476.76,0.0,0.6724,27.84,41.907407,800.0,65.3184,0.0,255.67999955004495,403.2,544.32,0.0,0.0,0.0,479.0016,322.0807,Medium,157.5,0.0,0.0,36.1813333333,367.018667,Main_0_2399,544.320000449955,544.320000449955,0.0,0.0,476.76,0.0,0.6724,255.67999955004495
53,RegionA,Valley,476.7,0.0,0.6618,27.84,44.246032,877.65,65.3184,0.0,333.3299999999999,403.2,544.32,0.0,0.0,0.0,479.0016,317.0033,Medium,157.5,0.0,0.0,37.58,365.62,Main_0_2399,544.32,544.32,0.0,0.0,476.7,0.0,0.6618,333.3299999999999
54,RegionA,Valley,476.63,0.0,0.6496,27.84,47.719577,950.0,65.3184,0.0,405.68000044995495,403.2,544.32,0.0,0.0,0.0,479.0016,311.1594,Medium,157.5,0.0,0.0,39.7526666667,363.447333,Main_0_2399,544.319999550045,544.319999550045,0.0,0.0,476.63,0.0,0.6496,405.68000044995495
55,RegionA,Flat,733.16,0.0,0.6364,10.2506666667,25.269841,1012.13,65.3184,0.0,467.80999955004495,403.2,544.32,0.0,0.0,0.0,479.0016,304.8366,Medium,157.5,0.0,0.0,19.1293333333,384.070667,Main_0_2399,544.320000449955,544.320000449955,0.0,0.0,733.16,0.0,0.6364,467.80999955004495
56,RegionA,Flat,733.03,0.0,0.6233,0.0,12.920635,1059.81,65.3184,0.0,515.4899999999999,403.2,544.32,0.0,0.0,0.0,479.0016,298.5617,Medium,157.5,0.0,0.0,7.492,395.708,Main_0_2399,544.32,544.32,0.0,0.0,733.03,0.0,0.6233,515.4899999999999
57,RegionA,Flat,732.89,0.0,0.6109,0.0,14.238095,1089.78,69.5448,0.0,545.4599999999999,403.2,544.32,0.0,0.0,0.0,474.7752,290.0402,Medium,157.5,0.0,0.0,8.361,394.839,Main_0_2399,544.32,544.32,0.0,0.0,732.89,0.0,0.6109,545.4599999999999
58,RegionA,Flat,732.74,0.0,0.6003,0.0,15.650794,1100.0,73.4832,0.0,555.68,403.2,544.32,0.0,0.0,0.0,470.8368,282.6433,Medium,157.5,0.0,0.0,9.458,393.742,Main_0_2399,544.32,544.32,0.0,0.0,732.74,0.0,0.6003,555.68
59,RegionA,Flat,732.57,0.0,0.592,0.0,8.910053,1089.78,68.8774,0.0,602.0249995500449,361.3,487.755,0.0,0.0,0.0,418.8776,247.9755,Medium,157.5,0.0,0.0,5.5273333333,355.772667,Main_0_2399,487.7550004499551,487.7550004499551,0.0,0.0,732.57,0.0,0.592,602.0249995500449
60,RegionA,Flat,732.39,0.0,0.5866,0.0,8.592593,1059.81,68.5029,0.0,590.550000449955,347.6,469.26,0.0,0.0,0.0,400.7571,235.0841,Medium,157.5,0.0,0.0,5.2766666667,342.323333,Main_0_2399,469.25999955004505,469.25999955004505,0.0,0.0,732.39,0.0,0.5866,590.550000449955
61,RegionA,Flat,732.19,0.0,0.5845,0.0,9.330688,1012.13,69.31,0.0,546.892999550045,344.62,465.237,0.0,0.0,0.0,395.927,231.4193,Medium,157.5,0.0,0.0,5.3703333333,339.249667,Main_0_2399,465.23700044995496,465.23700044995496,0.0,0.0,732.19,0.0,0.5845,546.892999550045
62,RegionA,Flat,731.99,0.0,0.5857,16.0,24.219577,950.0,66.6146,0.0,505.90264999999994,328.961,444.0974,0.0,0.0,0.0,377.4828,221.0917,Low,157.5,0.0,0.0,20.72,308.241,Main_0_2399,444.09735000000006,444.09735000000006,0.0,0.0,731.99,0.0,0.5857,505.90264999999994
63,RegionA,Flat,731.77,0.0,0.5902,14.3306666667,25.02381,877.65,61.7835,0.0,462.9340495500449,307.197,414.716,0.0,0.0,0.0,352.9325,208.3008,Low,157.5,0.0,0.0,20.7773333333,286.419667,Main_0_2399,414.7159504499551,414.7159504499551,0.0,0.0,731.77,0.0,0.5902,462.9340495500449
64,RegionA,Flat,731.55,0.0,0.5976,0.0,11.584656,800.0,47.9859,0.0,471.28579999999994,243.492,328.7142,0.0,0.0,0.0,280.7283,167.7632,Low,157.5,0.0,0.0,6.972,236.52,Main_0_2399,328.71420000000006,328.71420000000006,0.0,0.0,731.55,0.0,0.5976,471.28579999999994
65,RegionA,Peak,1060.4,0.0,0.6073,0.0,8.560847,722.35,46.7063,0.0,391.59999955004497,245.0,330.75,0.0,0.0,0.0,239.0437,145.1713,Medium,157.5,0.0,45.0,5.1093333333,239.890667,Main_0_2399,330.75000044995505,330.75000044995505,0.0,0.0,1060.4,0.0,0.6073,391.59999955004497
66,RegionA,Peak,1060.05,0.0,0.6188,7.1146666667,24.835979,650.0,41.4637,0.0,342.861500449955,227.51,307.1385,0.0,0.0,0.0,220.6748,136.5536,Medium,157.5,0.0,45.0,18.0146666667,209.495333,Main_0_2399,307.138499550045,307.138499550045,0.0,0.0,1060.05,0.0,0.6188,342.861500449955
67,RegionA,Peak,1059.68,0.0,0.631,16.32,32.140212,587.87,33.5806,0.0,325.0385,194.69,262.8315,0.0,0.0,0.0,184.2509,116.2623,Medium,157.5,0.0,45.0,25.718,168.972,Main_0_2399,262.8315,262.8315,0.0,0.0,1059.68,0.0,0.631,325.0385
68,RegionA,Peak,1059.29,0.0,0.6433,16.32,29.597884,540.19,40.9763,0.0,198.72099955004506,252.94,341.469,0.0,0.0,0.0,255.4927,164.3585,Medium,157.5,0.0,45.0,24.1533333333,228.786667,Main_0_2399,341.469000449955,341.469000449955,0.0,0.0,1059.29,0.0,0.6433,198.72099955004506
69,RegionA,Peak,1058.9,0.0,0.6547,31.04,44.912698,510.22,40.7187,0.0,170.89750000000004,251.35,339.3225,0.0,0.0,0.0,253.6038,166.0344,Medium,157.5,0.0,45.0,39.435,211.915,Main_0_2399,339.3225,339.3225,0.0,0.0,1058.9,0.0,0.6547,170.89750000000004
70,RegionA,Flat,656.99,0.0,0.6644,30.0586666667,44.994709,500.0,43.1941,54.8167,140.04950044995502,266.63,359.9505,0.0,0.0,0.0,316.7564,210.453,Low,157.5,54.8167,0.0,39.1346666667,227.495333,Main_0_2399,359.950499550045,359.950499550045,0.0,0.0,656.99,0.0,0.6644,140.04950044995502
71,RegionA,Flat,656.73,0.0,0.6716,20.0,36.037037,510.22,56.41,54.4572,40.136499550045016,348.21,470.0835,0.0,0.0,0.0,413.6735,277.8231,Medium,157.5,54.4572,0.0,29.7713333333,318.438667,Main_0_2399,470.083500449955,470.083500449955,0.0,0.0,656.73,0.0,0.6716,40.136499550045016
72,RegionA,Valley,474.12,0.0,0.676,29.136,42.320106,540.19,55.08,55.0,81.189999550045,340.0,459.0,0.0,18.0,0.0,421.92,285.2179,Medium,157.5,73.0,0.0,37.1573333333,302.842667,Main_0_2399,459.00000044995505,459.00000044995505,0.0,0.0,474.12,0.0,0.676,81.189999550045
73,RegionA,Valley,473.92,0.0,0.677,19.9973333333,40.10582,587.87,63.7794,55.0,56.375,393.7,531.495,0.0,18.0,0.0,485.7156,328.8295,Medium,157.5,73.0,0.0,32.178,361.522,Main_0_2399,531.495,531.495,0.0,0.0,473.92,0.0,0.677,56.375
74,RegionA,Valley,473.72,0.0,0.6747,19.2,39.814815,650.0,65.3184,0.0,105.67999955004495,403.2,544.32,0.0,7.6994,0.0,486.701,328.3772,Medium,157.5,7.6994,0.0,31.7413333333,371.458667,Main_0_2399,544.320000449955,544.320000449955,0.0,0.0,473.72,0.0,0.6747,105.67999955004495
75,RegionA,Valley,473.51,0.0,0.6691,19.2,30.666667,722.35,65.3184,0.0,178.02999999999997,403.2,544.32,0.0,0.0,0.0,479.0016,320.5,Medium,157.5,0.0,0.0,26.1,377.1,Main_0_2399,544.32,544.32,0.0,0.0,473.51,0.0,0.6691,178.02999999999997
76,RegionA,Valley,473.31,0.0,0.6606,12.8,21.60582,800.0,65.3184,0.0,255.67999999999995,403.2,544.32,0.0,0.0,0.0,479.0016,316.4285,Medium,157.5,0.0,0.0,17.99,385.21,Main_0_2399,544.32,544.32,0.0,0.0,473.31,0.0,0.6606,255.67999999999995
77,RegionA,Valley,473.1,0.0,0.6496,18.72,36.388889,877.65,65.3184,0.0,333.3299999999999,403.2,544.32,0.0,0.0,0.0,479.0016,311.1594,Medium,157.5,0.0,0.0,29.36,373.84,Main_0_2399,544.32,544.32,0.0,0.0,473.1,0.0,0.6496,333.3299999999999
78,RegionA,Valley,472.88,0.0,0.637,18.72,39.071429,950.0,65.3184,0.0,405.67999955004495,403.2,544.32,0.0,0.0,0.0,479.0016,305.124,Medium,157.5,0.0,0.0,30.8833333333,372.316667,Main_0_2399,544.320000449955,544.320000449955,0.0,0.0,472.88,0.0,0.637,405.67999955004495
79,RegionA,Flat,727.18,0.0,0.6235,18.72,40.502646,1012.13,65.3184,0.0,467.81000044995494,403.2,544.32,0.0,0.0,0.0,479.0016,298.6575,Medium,157.5,0.0,0.0,31.8046666667,371.395333,Main_0_2399,544.319999550045,544.319999550045,0.0,0.0,727.18,0.0,0.6235,467.81000044995494
80,RegionA,Flat,726.85,0.0,0.6099,11.16,29.060847,1059.81,65.3184,0.0,515.4899995500449,403.2,544.32,0.0,0.0,0.0,479.0016,292.1431,Medium,157.5,0.0,0.0,21.9013333333,381.298667,Main_0_2399,544.320000449955,544.320000449955,0.0,0.0,726.85,0.0,0.6099,515.4899995500449
81,RegionA,Flat,726.51,0.0,0.5973,0.0,25.703704,1089.78,69.5448,0.0,545.4600004499549,403.2,544.32,0.0,0.0,0.0,474.7752,283.5832,Medium,157.5,0.0,0.0,15.4826666667,387.717333,Main_0_2399,544.319999550045,544.319999550045,0.0,0.0,726.51,0.0,0.5973,545.4600004499549
82,RegionA,Flat,726.18,0.0,0.5863,14.72,38.529101,1100.0,73.4832,0.0,555.68,403.2,544.32,0.0,0.0,0.0,470.8368,276.0516,Medium,157.5,0.0,0.0,29.162,374.038,Main_0_2399,544.32,544.32,0.0,0.0,726.18,0.0,0.5863,555.68
